"","employment","total_number","total_median","men_number","men_median","women_number","women_median","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"57","Computer occupations, all other","282","1127","221","1165","61","998",306,"40.799999999999997","15-1199","    2.45","   28.76","   72.22","   45.59","  114.44","   39.17","   3.37","2011","15-119"
"58","Computer operators","116","724","59","853","56","651",126,"48.9","43-9011","    3.65","   31.00","   38.93","   18.27","   28.73","    4.66","   0.76","2011","43-901"
"59","Computer programmers","411","1277","329","1330","83","1238",459,"41.8","15-1131","    2.29","   21.57","   63.34","   40.39","  231.34","   87.67","  12.39","2011","15-113"
"60","Computer systems analysts","373","1328","242","1410","132","1144",447,"43.1","15-1121","    2.23","   21.01","   66.60","   36.65","  212.77","   97.45","  10.28","2011","15-112"
"61","Computer, automated teller, and office machine repairers","237","811","215","812","22","-",305,"40.6","49-2011","    6.71","   58.26","  100.95","   61.30","   65.58","   10.98","   1.53","2011","49-201"
"62","Construction and building inspectors","54","906","52","919","2","-",75,"50.7","47-4011","    1.50","   19.80","   24.30","    9.38","   16.05","    3.52","   0.45","2011","47-401"
"63","Construction laborers","862","586","846","587","15","-",1253,"36.9","47-2061","  414.74","  508.72","  210.50","   50.12","   56.38","    8.77","   2.51","2011","47-206"
"64","Construction managers","464","1268","433","1325","31","-",926,"46.9","2601198","   62.04","  249.09","  231.50","   71.30","  254.65","   50.00","   6.48","2011","260119"
"65","Cost estimators","106","1080","87","1117","19","-",119,"44.7","13-1051","    2.50","   28.68","   34.15","   13.80","   33.80","    5.47","   0.48","2011","13-105"
"66","Counter and rental clerks","87","603","50","620","38","-",139,"38.200000000000003","41-2021","   17.65","   50.60","   36.14","   10.43","   20.71","    2.92","   0.70","2011","41-202"
"67","Couriers and messengers","164","744","145","785","19","-",249,"46.5","43-5021","   19.17","   89.14","   83.91","   23.41","   28.39","    3.49","   1.49","2011","43-502"
"68","Court, municipal, and license clerks","74","763","14","-","60","738",86,"48.9","43-4031","    1.55","   25.71","   28.72","   13.85","   13.33","    1.72","   1.12","2011","43-403"
"69","Crane and tower operators","63","739","62","736","1","-",63,"42.7","53-7021","   10.46","   34.59","   14.24","    2.84","    0.76","    0.06","   0.06","2011","53-702"
"70","Credit analysts","21","-","9","-","12","-",24,"–","13-2041","    0.34","    2.33","    4.20","    1.94","   10.54","    4.08","   0.58","2011","13-204"
"71","Credit authorizers, checkers, and clerks","47","-","13","-","34","-",45,"–","43-4041","    1.12","   15.62","   13.95","    3.78","    8.01","    2.25","   0.27","2011","43-404"
"72","Crossing guards","23","-","15","-","8","-",59,"53.6","33-9091","   12.74","   25.72","   14.51","    2.71","    2.83","    0.47","   0.06","2011","33-909"
"73","Customer service representatives","1509","588","538","628","972","569",1916,"37","43-4051","   78.56","  524.98","  641.86","  208.84","  394.70","   59.40","   7.66","2011","43-405"
"74","Data entry keyers","280","595","49","-","231","597",334,"40","43-9021","    9.35","  101.87","  116.90","   42.08","   54.11","    8.35","   1.34","2011","43-902"
"75","Database administrators","138","1238","90","1470","48","-",134,"42.5","15-1141","    0.67","    8.04","   21.04","   12.46","   63.52","   24.79","   3.48","2011","15-114"
"76","Dental assistants","191","579","7","-","184","582",307,"36.299999999999997","31-9091","    9.21","   92.41","  127.71","   49.43","   20.26","    1.23","   6.45","2011","31-909"
"77","Dental hygienists","61","986","3","-","59","992",148,"42.2","29-2021","    0.15","    4.29","    9.32","   81.10","   47.95","    2.66","   2.66","2011","29-202"
"78","Detectives and criminal investigators","147","1154","125","1192","22","-",151,"42.3","33-3021","    0.91","   12.23","   36.69","   20.08","   61.76","   16.31","   3.32","2011","33-302"
"79","Dietitians and nutritionists","69","897","6","-","64","906",102,"47.7","29-1031","    3.06","   11.42","    7.14","    3.88","   40.90","   28.15","   7.45","2011","29-103"
"80","Directors, religious activities and education","34","-","10","-","25","-",44,"–","21-2021","    0.48","    4.00","    7.96","    2.33","   16.15","   10.03","   3.04","2011","21-202"
"81","Dishwashers","118","332","90","321","28","-",273,"28.3","35-9021","  124.22","  102.92","   30.30","    6.55","    7.37","    1.36","   0.55","2011","35-902"
"82","Door-to-door sales workers, news and street vendors, and related workers","55","526","35","-","20","-",201,"43.8","41-9091","   31.76","   63.52","   52.86","   14.87","   29.35","    6.23","   2.21","2011","41-909"
"83","Earth drillers, except oil and gas","17","-","17","-","0","-",23,"–","47-5021","    3.63","   11.55","    5.31","    1.40","    1.06","    0.02","   0.02","2011","47-502"
"84","Economists","20","-","12","-","8","-",23,"–","19-3011","    0.05","    0.12","    0.09","    0.05","    5.08","    9.54","   8.10","2011","19-301"
"85","Editors","132","902","58","933","74","892",166,"41.4","27-3041","    0.83","    4.32","   15.11","    6.47","   95.45","   34.03","   9.63","2011","27-304"
"86","Electrical power-line installers and repairers","111","1116","111","1116","0","-",124,"40.6","49-9051","    7.07","   55.68","   39.80","   14.26","    6.32","    0.50","   0.50","2011","49-905"
"87","Electricians","542","857","539","855","3","-",682,"41.5","47-2111","   49.10","  269.39","  221.65","   92.75","   42.97","    5.46","   0.68","2011","47-211"
"88","Elevator installers and repairers","30","-","30","-","0","-",30,"–","47-4021","    1.02","   13.86","   10.02","    3.54","    1.56","    0.00","   0.00","2011","47-402"
"89","Eligibility interviewers, government programs","79","632","9","-","70","632",85,"42.9","43-4061","    1.19","   11.13","   25.50","   11.98","   28.65","    5.53","   1.02","2011","43-406"
"90","Emergency management directors","5","-","4","-","1","-",5,"–","2652332","    0.06","    0.62","    0.98","    0.41","    2.06","    0.74","   0.12","2011","265233"
"91","Emergency medical technicians and paramedics","167","715","113","757","54","649",185,"31.8","29-2041","    1.66","   27.20","   91.39","   36.45","   23.87","    3.89","   0.56","2011","29-204"
"92","Engine and other machine assemblers","30","-","25","-","4","-",34,"–","51-2031","    4.22","   16.42","    8.30","    3.67","    1.36","    0.00","   0.00","2011","51-203"
"93","Entertainers and performers, sports and related workers, all other","7","-","3","-","4","-",44,"–","27-2099","    1.72","    9.77","   11.62","    3.12","   13.95","    3.17","   0.62","2011","27-209"
"94","Environmental engineers","36","-","26","-","10","-",45,"–","17-2081","    0.09","    1.76","    1.76","    1.89","   21.33","   15.97","   2.25","2011","17-208"
"95","Explosives workers, ordnance handling experts, and blasters","10","-","10","-","0","-",9,"–","47-5031","    0.64","    3.73","    2.40","    1.12","    0.90","    0.15","   0.04","2011","47-503"
"96","Extruding and drawing machine setters, operators, and tenders, metal and plastic","11","-","9","-","2","-",13,"–","51-4021","    1.96","    6.51","    3.16","    0.87","    0.49","    0.00","   0.00","2011","51-402"
