"","employment","total_number","total_median","men_number","men_median","women_number","women_median","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"339","Electrical power-line installers and repairers","922","113","929","112","-","1",113.5,"38.9","49-9051","    5.11","   45.97","   42.34","   14.19","    5.45","    0.34","   0.00","2013","49-905"
"340","Electricians","949","641","952","630","-","11",711,"42.8","47-2111","   54.75","  265.20","  234.63","  101.67","   46.93","    5.69","   1.42","2013","47-211"
"341","Elevator installers and repairers","-","25","-","25","-","0",26.5,"–","47-4021","    1.11","   11.85","    8.75","    2.78","    1.99","    0.05","   0.00","2013","47-402"
"342","Eligibility interviewers, government programs","778","75","-","15","746","60",83.5,"45.1","43-4061","    1.00","   11.94","   21.38","   10.69","   30.23","    7.52","   0.75","2013","43-406"
"343","Emergency management directors","-","9","-","6","-","3",6.5,"–","2652332","    0.06","    0.34","    1.20","    1.03","    2.12","    1.54","   0.20","2013","265233"
"344","Emergency medical technicians and paramedics","796","140","832","82","785","58",174,"34.6","29-2041","    1.39","   24.19","   81.61","   37.24","   25.93","    2.78","   0.87","2013","29-204"
"345","Engine and other machine assemblers","-","19","-","17","-","2",26,"–","51-2031","    2.68","   13.44","    5.23","    3.33","    1.25","    0.08","   0.00","2013","51-203"
"346","Entertainers and performers, sports and related workers, all other","-","9","-","2","-","7",38,"–","27-2099","    1.67","    7.79","   10.94","    2.93","   11.55","    2.17","   0.95","2013","27-209"
"347","Environmental engineers","-","28","-","22","-","6",38,"–","17-2081","    0.15","    2.01","    1.41","    1.03","   20.25","   10.91","   2.24","2013","17-208"
"348","Explosives workers, ordnance handling experts, and blasters","-","8","-","8","-","0",8,"–","47-5031","    0.74","    2.99","    2.51","    0.93","    0.50","    0.29","   0.03","2013","47-503"
"349","Extruding and drawing machine setters, operators, and tenders, metal and plastic","-","16","-","14","-","2",11.5,"–","51-4021","    1.02","    6.53","    2.59","    1.03","    0.32","    0.00","   0.00","2013","51-402"
"350","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","-","31","-","26","-","5",35.5,"–","51-9041","    6.85","   17.82","    7.95","    1.95","    0.75","    0.00","   0.18","2013","51-904"
"351","Farmers, ranchers, and other agricultural managers","731","97","716","78","-","19",936.5,"56.1","2598276","  112.38","  345.57","  185.43","   85.22","  171.38","   28.09","   8.43","2013","259827"
"352","Fence erectors","-","24","-","24","-","0",34,"–","47-4031","   12.14","   13.63","    5.75","    1.19","    1.26","    0.03","   0.00","2013","47-403"
"353","File clerks","625","182","-","42","604","140",274.5,"40.799999999999997","43-4071","   11.53","   76.59","   88.11","   35.96","   49.14","   10.98","   1.92","2013","43-407"
"354","Financial analysts","1466","89","1757","56","-","33",97,"38.700000000000003","13-2051","    0.19","    2.62","    7.76","    2.91","   43.94","   34.53","   5.04","2013","13-205"
"355","Financial clerks, all other","686","54","-","20","-","34",53.5,"42.7","43-3099","    0.43","    9.58","   14.71","    3.75","   17.17","    7.28","   0.59","2013","43-309"
"356","Financial examiners","-","10","-","4","-","6",14,"–","13-2061","    0.10","    0.36","    1.82","    0.62","    8.11","    2.72","   0.29","2013","13-206"
"357","Financial managers","1236","1127","1518","514","1064","613",1223,"43.8","413395","   12.23","  130.86","  232.37","   86.83","  498.98","  229.92","  30.57","2013","413395"
"358","Financial specialists, all other","962","87","-","38","-","49",88,"40.5","13-2099","    1.06","    9.15","   14.61","    7.66","   33.18","   20.15","   2.29","2013","13-209"
"359","Firefighters","996","294","1000","285","-","9",300.5,"40.1","33-2011","    3.00","   48.38","  130.72","   60.40","   51.99","    5.41","   0.60","2013","33-201"
"360","First-line supervisors of construction trades and extraction workers","990","509","996","501","-","8",632.5,"46.2","47-1011","   86.65","  265.65","  163.19","   44.27","   60.72","    8.86","   2.53","2013","47-101"
"361","First-line supervisors of correctional officers","-","33","-","28","-","5",41,"–","33-1011","    0.41","    9.92","   14.10","    4.88","    8.28","    2.79","   0.66","2013","33-101"
"362","First-line supervisors of farming, fishing, and forestry workers","-","34","-","25","-","8",49,"–","45-1011","   15.83","   14.21","    8.87","    2.30","    6.22","    1.27","   0.24","2013","45-101"
"363","First-line supervisors of fire fighting and prevention workers","1082","60","1082","60","-","0",61,"45.6","33-1021","    0.06","    9.15","   22.51","   13.60","   11.65","    3.72","   0.24","2013","33-102"
"364","First-line supervisors of housekeeping and janitorial workers","638","186","801","108","511","78",299.5,"48.6","37-1011","   45.22","  111.11","   80.57","   24.86","   32.05","    4.19","   1.50","2013","37-101"
"365","First-line supervisors of mechanics, installers, and repairers","980","258","990","229","-","29",279,"48.1","49-1011","   17.02","  101.56","   86.21","   33.48","   32.36","    7.25","   1.12","2013","49-101"
"366","First-line supervisors of office and administrative support workers","772","1224","846","395","748","828",1389.5,"45.7","43-1011","   36.13","  315.42","  407.12","  159.79","  357.10","   95.88","  19.45","2013","43-101"
"367","First-line supervisors of personal service workers","595","72","-","28","-","44",237,"44.7","39-1021","   11.61","   58.78","   66.12","   22.99","   63.52","   11.85","   2.13","2013","39-102"
"368","First-line supervisors of production and operating workers","902","675","952","550","682","125",769.5,"47.2","51-1011","   73.87","  294.72","  203.15","   68.49","  101.57","   23.09","   4.62","2013","51-101"
"369","First-line supervisors of protective service workers, all other","785","82","788","57","-","25",96.5,"47","33-1099","    2.51","   20.07","   30.78","   10.81","   22.97","    7.24","   2.22","2013","33-109"
"370","First-line supervisors of retail sales workers","709","2320","778","1338","612","981",3230,"43","41-1011","  184.11","  946.39","  930.24","  300.39","  720.29","  122.74","  25.84","2013","41-101"
"371","Flight attendants","767","69","-","16","749","54",88.5,"49.4","53-2031","    0.44","   12.57","   30.00","   11.86","   29.65","    3.36","   0.62","2013","53-203"
"372","Food and tobacco roasting, baking, and drying machine operators and tenders","-","6","-","4","-","2",10.5,"–","51-3091","    1.84","    4.43","    2.52","    0.78","    0.77","    0.17","   0.00","2013","51-309"
"373","Food preparation workers","387","398","392","206","380","191",876.5,"27.8","35-2021","  249.80","  328.69","  170.04","   46.45","   68.37","    9.64","   2.63","2013","35-202"
"374","Food servers, nonrestaurant","458","109","-","36","410","74",223,"33.200000000000003","35-3041","   40.81","   96.11","   49.95","   16.73","   17.17","    1.56","   0.67","2013","35-304"
"375","Food service managers","701","716","801","381","620","335",1081,"40","2612155","  104.86","  310.25","  303.76","  103.78","  218.36","   34.59","   6.49","2013","261215"
"376","Forest and conservation workers","-","11","-","10","-","1",13.5,"–","45-4011","    3.46","    2.85","    3.01","    1.22","    2.44","    0.53","   0.00","2013","45-401"
"377","Fundraisers","1124","80","-","22","1084","58",83.5,"42.9","13-1131","    1.25","    2.67","    7.18","    2.17","   40.50","   25.30","   4.43","2013","13-113"
"378","Furnace, kiln, oven, drier, and kettle operators and tenders","-","10","-","10","-","0",15.5,"–","51-9051","    2.48","    7.02","    3.52","    1.24","    0.95","    0.28","   0.00","2013","51-905"
"379","Furniture finishers","-","5","-","4","-","1",7,"–","51-7021","    1.72","    2.86","    1.24","    0.46","    0.60","    0.10","   0.04","2013","51-702"
"380","Gaming cage workers","-","12","-","6","-","6",11,"–","43-3041","    0.62","    4.17","    3.75","    1.23","    0.97","    0.25","   0.00","2013","43-304"
"381","Gaming managers","-","16","-","12","-","4",21.5,"–","2619460","    1.76","    6.15","    6.32","    2.24","    4.02","    0.97","   0.04","2013","261946"
"382","General and operations managers","1370","947","1444","698","1161","250",1069.5,"45.6","11-1021","   22.46","  156.15","  252.40","   86.63","  377.53","  145.45","  29.95","2013","11-102"
"383","Glaziers","-","31","-","31","-","0",41.5,"–","47-2121","    8.18","   22.04","    8.22","    1.54","    1.45","    0.12","   0.00","2013","47-212"
"384","Graders and sorters, agricultural products","416","91","-","34","389","57",106,"42.4","45-2041","   63.39","   25.86","    9.96","    2.44","    3.92","    0.53","   0.00","2013","45-204"
"385","Hazardous materials removal workers","-","28","-","20","-","8",35,"–","47-4041","    7.35","   13.12","    7.81","    1.82","    3.85","    0.91","   0.14","2013","47-404"
"386","Health diagnosing and treating practitioners, all other","-","7","-","1","-","6",24,"–","29-1199","    0.29","    0.62","    1.82","    0.72","    3.77","   10.08","   6.70","2013","29-119"
"387","Heating, air conditioning, and refrigeration mechanics and installers","792","316","791","313","-","3",362,"41.1","49-9021","   42.35","  142.99","  111.86","   47.06","   14.84","    1.81","   0.72","2013","49-902"
"388","Highway maintenance workers","709","95","709","95","-","0",102.5,"48.1","47-4051","   13.12","   58.02","   22.86","    4.92","    3.08","    0.41","   0.20","2013","47-405"
"389","Home appliance repairers","-","38","-","38","-","0",49.5,"48.2","49-9031","    5.40","   22.37","   14.40","    4.21","    2.57","    0.40","   0.15","2013","49-903"
"390","Hosts and hostesses, restaurant, lounge, and coffee shop","393","69","-","9","391","60",279.5,"21.8","35-9031","   32.98","  100.34","   74.07","   22.08","   42.48","    5.87","   1.68","2013","35-903"
"391","Hotel, motel, and resort desk clerks","418","71","-","21","417","50",111,"30.1","43-4081","    5.99","   33.74","   39.18","   10.88","   17.65","    3.11","   0.56","2013","43-408"
"392","Human resources assistants, except payroll and timekeeping","877","129","-","26","873","103",132.5,"42.6","43-4161","    3.18","   25.44","   44.12","   17.75","   31.27","    9.80","   0.93","2013","43-416"
"393","Human resources managers","1327","211","1536","60","1240","152",221.5,"44.3","446267","    4.87","   28.57","   46.07","   17.50","   77.08","   42.09","   5.32","2013","446267"
"394","Industrial production managers","1338","256","1352","215","-","41",258.5,"47.6","420700","    8.53","   48.34","   60.75","   23.78","   82.20","   31.54","   3.36","2013","420700"
"395","Industrial truck and tractor operators","559","542","559","510","-","32",547,"40","53-7051","  123.62","  276.78","  107.21","   25.16","   12.58","    1.09","   0.55","2013","53-705"
"396","Information and record clerks, all other","710","85","-","23","727","62",103.5,"44.2","43-4199","    1.66","   22.05","   31.88","   21.42","   21.42","    4.14","   1.03","2013","43-419"
"397","Inspectors, testers, sorters, samplers, and weighers","741","650","835","439","583","211",687.5,"43.8","51-9061","   73.56","  240.62","  187.69","   71.50","   92.12","   19.25","   2.75","2013","51-906"
"398","Insurance claims and policy processing clerks","652","252","-","46","631","206",258.5,"41.5","43-9041","    3.62","   66.69","   89.96","   30.24","   58.42","    8.01","   1.29","2013","43-904"
"399","Insurance sales agents","838","431","1029","216","733","216",571,"45.6","41-3021","    5.71","   87.36","  150.17","   53.10","  228.97","   35.97","   9.71","2013","41-302"
"400","Interviewers, except eligibility and loan","621","110","-","21","605","89",140.5,"42.2","43-4111","    2.11","   33.44","   47.35","   22.20","   25.85","    8.01","   1.55","2013","43-411"
"401","Jewelers and precious stone and metal workers","-","23","-","17","-","6",50,"48.6","51-9071","    7.85","   15.90","   13.70","    4.25","    7.25","    1.00","   0.10","2013","51-907"
"402","Laundry and dry-cleaning workers","385","121","425","50","360","71",176,"43.2","51-6011","   60.19","   73.57","   24.82","    6.51","    9.15","    1.06","   0.53","2013","51-601"
"403","Librarians","919","149","-","28","905","121",187.5,"50.5","25-4021","    0.38","    0.75","   18.56","    8.06","   43.31","  106.88","   9.56","2013","25-402"
"404","Library assistants, clerical","559","50","-","8","-","42",92,"39.4","43-4121","    1.01","   18.68","   22.54","   12.05","   27.97","    8.56","   1.10","2013","43-412"
"405","Library technicians","-","18","-","4","-","14",42,"–","25-4031","    1.34","   14.91","    6.80","    4.16","    9.95","    4.24","   0.59","2013","25-403"
"406","Licensed practical and licensed vocational nurses","741","444","-","40","732","404",544.5,"43.8","29-2061","    7.62","  101.28","  301.65","  101.82","   26.14","    3.27","   2.18","2013","29-206"
"407","Loan interviewers and clerks","719","158","-","29","688","129",156,"39.9","43-4131","    2.18","   42.12","   51.17","   20.12","   35.72","    3.90","   0.94","2013","43-413"
"408","Lodging managers","901","98","-","45","858","53",148.5,"47.1","2623113","    7.42","   27.92","   35.79","   13.81","   49.30","   11.58","   2.82","2013","262311"
"409","Logisticians","993","91","1045","58","-","33",91,"46.1","13-1081","    1.27","   13.92","   25.03","   10.28","   30.30","    9.10","   0.91","2013","13-108"
"410","Machinists","777","388","795","367","-","21",397.5,"46.2","51-4041","   38.96","  189.21","  109.71","   44.52","   13.12","    1.59","   0.40","2013","51-404"
"411","Mail clerks and mail machine operators, except postal service","-","48","-","26","-","22",78,"50","43-9051","    6.40","   32.53","   22.70","    6.16","    8.50","    1.40","   0.23","2013","43-905"
"412","Maintenance and repair workers, general","805","405","807","386","-","18",452,"47.9","49-9071","   62.38","  183.96","  125.66","   47.01","   28.02","    4.07","   0.45","2013","49-907"
"413","Management analysts","1450","547","1614","318","1319","229",792,"47.2","13-1111","    3.96","   38.81","   98.21","   40.39","  324.72","  229.68","  57.02","2013","13-111"
"414","Marine engineers and naval architects","-","12","-","12","-","0",9.5,"–","17-2121","    0.00","    0.95","    0.93","    0.58","    5.23","    1.60","   0.23","2013","17-212"
"415","Market research analysts and marketing specialists","1139","190","1171","80","967","110",230,"38.5","13-1161","    1.61","    8.97","   24.38","   11.27","  123.97","   52.90","   7.13","2013","13-116"
"416","Massage therapists","-","48","-","15","-","32",165,"41.8","31-9011","    3.79","   28.38","   60.72","   28.38","   34.48","    6.93","   2.48","2013","31-901"
"417","Materials engineers","-","43","-","36","-","7",43,"–","17-2131","    0.00","    2.19","    4.56","    4.47","   20.77","    8.26","   2.71","2013","17-213"
"418","Mechanical engineers","1496","297","1554","273","-","24",307.5,"42.4","17-2141","    0.31","   13.84","   31.06","   31.67","  158.67","   62.73","   9.53","2013","17-214"
"419","Medical and health services managers","1258","529","1412","154","1224","375",585,"48.3","2634069","    5.26","   45.63","   89.50","   71.37","  187.20","  139.23","  46.80","2013","263406"
"420","Medical records and health information technicians","612","78","-","6","595","72",89,"49.8","29-2071","    1.60","   20.91","   31.60","   17.27","   14.06","    2.85","   0.71","2013","29-207"
"421","Meeting, convention, and event planners","930","95","-","15","901","80",128.5,"37.6","13-1121","    1.93","   10.92","   23.77","   11.05","   65.15","   13.75","   1.93","2013","13-112"
"422","Meter readers, utilities","-","24","-","19","-","6",29,"–","43-5041","    1.13","   13.75","    8.76","    2.18","    2.84","    0.29","   0.00","2013","43-504"
"423","Morticians, undertakers, and funeral directors","-","28","-","21","-","7",38.5,"–","39-4031","    0.27","    3.54","    9.36","   12.32","    9.82","    2.12","   1.08","2013","39-403"
"424","Motion picture projectionists","-","3","-","1","-","2",3.5,"–","39-3021","    0.07","    0.86","    1.28","    0.23","    1.05","    0.00","   0.00","2013","39-302"
"425","Motor vehicle operators, all other","-","39","-","37","-","3",68.5,"59.3","53-3099","    8.97","   32.40","   15.41","    4.66","    5.48","    1.23","   0.48","2013","53-309"
"426","Natural sciences managers","-","12","-","8","-","4",16,"–","2637722","    0.10","    0.22","    0.64","    0.37","    5.31","    5.02","   4.35","2013","263772"
"427","New accounts clerks","-","29","-","3","-","26",25.5,"–","43-4141","    0.20","    6.58","    9.15","    2.50","    5.97","    0.97","   0.10","2013","43-414"
"428","Nonfarm animal caretakers","458","78","-","22","468","57",177,"32.1","39-2021","   18.05","   61.42","   48.14","   14.69","   28.85","    4.25","   1.59","2013","39-202"
"429","Nurse anesthetists","-","22","-","7","-","14",25.5,"–","29-1151","    0.00","    0.59","    1.25","    1.02","    3.47","   15.68","   3.47","2013","29-115"
"430","Occupational therapists","1295","78","-","11","1240","68",115,"40.700000000000003","29-1122","    0.34","    0.46","    1.61","    9.20","   50.02","   47.95","   5.29","2013","29-112"
"431","Office clerks, general","598","852","620","118","596","734",1143.5,"42.7","43-9061","   38.88","  343.05","  386.50","  134.93","  193.25","   38.88","   6.86","2013","43-906"
"432","Office machine operators, except computer","-","35","-","14","-","21",43.5,"–","43-9071","    3.83","   17.75","   12.35","    3.92","    5.18","    0.44","   0.04","2013","43-907"
"433","Operations research analysts","1444","119","1569","56","1313","63",129,"44.8","15-2031","    0.77","    6.45","   21.41","    8.77","   52.50","   33.93","   5.16","2013","15-203"
"434","Opticians, dispensing","-","37","-","13","-","25",50.5,"–","29-2081","    0.96","   14.09","   18.43","    9.90","    6.21","    0.45","   0.45","2013","29-208"
"435","Optometrists","-","14","-","11","-","2",37,"–","29-1041","    0.04","    0.18","    0.00","    0.11","    0.59","    0.89","  35.19","2013","29-104"
"436","Packaging and filling machine operators and tenders","488","297","537","137","429","159",282.5,"39.9","51-9111","   99.72","  118.37","   42.09","   10.45","   10.45","    1.13","   0.28","2013","51-911"
"437","Paralegals and legal assistants","846","337","923","50","825","287",411,"42","23-2011","    4.11","   46.03","   99.05","   76.03","  154.12","   20.14","  11.10","2013","23-201"
"438","Parking lot attendants","423","50","-","43","-","7",84.5,"28.3","53-6021","   16.22","   28.56","   20.36","    7.27","    9.38","    2.11","   0.51","2013","53-602"
"439","Paving, surfacing, and tamping equipment operators","-","18","-","18","-","1",22.5,"–","47-2071","    8.26","   11.65","    1.30","    0.54","    0.74","    0.00","   0.00","2013","47-207"
"440","Payroll and timekeeping clerks","731","128","-","9","727","118",155.5,"47.6","43-3051","    3.27","   39.96","   57.54","   22.24","   28.46","    3.58","   0.31","2013","43-305"
"441","Personal care aides","449","657","470","119","445","539",1156.5,"44.2","39-9021","  196.61","  402.46","  311.10","   94.83","  120.28","   24.29","   5.78","2013","39-902"
"442","Personal care and service workers, all other","-","36","-","22","-","13",100,"35.299999999999997","39-9099","    9.90","   33.00","   29.40","    8.90","   14.70","    3.50","   0.70","2013","39-909"
"443","Pest control workers","609","62","606","60","-","2",75,"42.9","37-2021","    6.45","   31.05","   22.50","    6.75","    7.12","    0.75","   0.38","2013","37-202"
"444","Pharmacists","1960","215","2092","98","1802","117",281.5,"42.7","29-1051","    0.28","    0.28","    3.94","    2.53","  103.03","   17.17"," 154.26","2013","29-105"
"445","Photographers","-","48","-","31","-","17",179,"40.1","27-4021","    4.30","   20.94","   40.81","   18.26","   78.94","   12.53","   3.04","2013","27-402"
"446","Photographic process workers and processing machine operators","-","26","-","15","-","11",49,"–","51-9151","    2.35","   13.13","   13.33","    5.44","   11.17","    2.94","   0.64","2013","51-915"
"447","Physical scientists, all other","1517","132","1597","88","-","44",156,"43.2","19-2099","    0.16","    0.62","    0.78","    1.25","   40.09","   34.48","  78.62","2013","19-209"
"448","Physician assistants","1456","103","-","36","1491","67",118.5,"39.200000000000003","29-1071","    0.59","    5.81","    9.36","   13.75","   30.57","   43.73","  14.58","2013","29-107"
"449","Plasterers and stucco masons","-","24","-","24","-","0",22.5,"–","47-2161","   11.72","    7.34","    2.77","    0.50","    0.11","    0.04","   0.00","2013","47-216"
"450","Podiatrists","-","4","-","1","-","3",10.5,"–","29-1081","    0.03","    0.06","    0.00","    0.00","    0.16","    0.25","  10.01","2013","29-108"
"451","Postal service clerks","968","90","-","45","-","45",124,"52.1","43-5051","    3.10","   42.53","   45.14","   13.27","   17.48","    2.23","   0.25","2013","43-505"
"452","Prepress technicians and workers","-","25","-","17","-","9",31,"–","51-5111","    3.47","   10.70","    8.31","    3.13","    4.68","    0.59","   0.12","2013","51-511"
"453","Pressers, textile, garment, and related materials","-","35","-","18","-","17",54.5,"45.7","51-6021","   25.51","   20.06","    5.72","    1.53","    1.47","    0.16","   0.05","2013","51-602"
"454","Private detectives and investigators","948","72","-","40","-","32",94.5,"43.5","33-9021","    0.85","    9.45","   20.98","    9.36","   36.95","   13.70","   3.21","2013","33-902"
"455","Procurement clerks","-","30","-","12","-","18",27,"–","43-3061","    0.32","    5.29","    8.61","    3.62","    6.53","    2.27","   0.38","2013","43-306"
"456","Production, planning, and expediting clerks","745","272","864","124","690","148",277,"46.1","43-5061","    8.03","   71.47","   79.22","   31.86","   65.93","   18.56","   1.66","2013","43-506"
"457","Proofreaders and copy markers","-","3","-","0","-","3",8.5,"–","43-9081","    0.26","    1.32","    1.51","    0.40","    3.97","    0.82","   0.22","2013","43-908"
"458","Property, real estate, and community association managers","862","358","1068","161","784","198",649,"50.8","2645027","   30.50","  124.61","  182.37","   55.81","  188.21","   53.22","  14.28","2013","264502"
"459","Public relations and fundraising managers","1159","51","-","21","-","29",56.5,"41.1","48153","    0.00","    1.81","    3.50","    2.83","   30.34","   15.42","   2.54","2013","48153"
"460","Public relations specialists","1129","109","-","41","921","68",152,"37.4","27-3031","    0.91","    5.62","   14.44","    7.30","   85.88","   31.16","   6.54","2013","27-303"
"461","Purchasing managers","1358","181","1441","92","1290","89",201,"47.5","424353","    2.41","   22.31","   36.98","   15.68","   82.01","   35.98","   5.63","2013","424353"
"462","Rail-track laying and maintenance equipment operators","-","16","-","16","-","0",11.5,"–","47-4061","    1.64","    5.60","    3.05","    0.84","    0.34","    0.02","   0.00","2013","47-406"
"463","Railroad conductors and yardmasters","-","46","-","43","-","3",51,"39","53-4031","    0.71","   18.31","   19.18","    5.51","    6.83","    0.46","   0.05","2013","53-403"
"464","Receptionists and information clerks","536","901","600","73","527","828",1281.5,"37.6","43-4171","   52.54","  429.30","  436.99","  153.78","  175.57","   28.19","   6.41","2013","43-417"
"465","Refuse and recyclable material collectors","550","75","555","74","-","1",107,"41.1","53-7081","   35.52","   44.51","   17.98","    4.28","    4.07","    0.64","   0.00","2013","53-708"
"466","Registered nurses","1099","2278","1236","254","1086","2023",2883.5,"44.2","29-1141","    5.77","   31.72","  155.71"," 1058.24"," 1340.83","  236.45","  54.79","2013","29-114"
"467","Religious workers, all other","-","34","-","17","-","17",71.5,"47.1","21-2099","    1.43","    8.08","   12.80","    5.72","   25.95","   13.51","   3.93","2013","21-209"
"468","Reservation and transportation ticket agents and travel clerks","699","100","-","46","620","54",118,"44.2","43-4181","    2.71","   28.79","   39.88","   14.40","   26.90","    4.84","   0.35","2013","43-418"
"469","Residential advisors","-","32","-","13","-","18",49,"–","39-9041","    1.52","    9.95","   15.93","    5.93","   11.86","    3.48","   0.39","2013","39-904"
"470","Retail salespersons","598","1829","719","1092","485","737",3285.5,"34.700000000000003","41-2031","  216.84","  952.80","  946.22","  318.69","  706.38","  121.56","  23.00","2013","41-203"
"471","Roofers","566","133","566","133","-","0",199.5,"37.299999999999997","47-2181","   90.97","   75.01","   21.95","    5.39","    5.59","    0.60","   0.20","2013","47-218"
"472","Sales engineers","-","33","-","29","-","4",31.5,"–","41-9031","    0.22","    1.83","    4.09","    2.96","   16.73","    5.13","   0.54","2013","41-903"
"473","Sales representatives, services, all other","948","348","1013","242","766","106",444.5,"42.1","41-3099","    9.78","   70.68","  115.13","   37.34","  174.69","   32.89","   4.45","2013","41-309"
"474","Sawing machine setters, operators, and tenders, wood","-","25","-","23","-","2",31.5,"–","51-7041","   11.62","   14.18","    4.03","    0.98","    0.60","    0.09","   0.00","2013","51-704"
"475","Securities, commodities, and financial services sales agents","1119","219","1389","145","863","75",279,"41.7","41-3031","    1.67","   21.20","   45.20","   13.95","  142.57","   46.59","   7.25","2013","41-303"
"476","Sewing machine operators","405","121","-","29","405","91",162,"48","51-6031","   70.15","   58.81","   17.17","    6.64","    7.94","    0.97","   0.32","2013","51-603"
"477","Sheet metal workers","789","100","797","93","-","7",118,"43.2","47-2211","   17.35","   54.87","   32.45","    8.14","    4.84","    0.47","   0.00","2013","47-221"
"478","Shipping, receiving, and traffic clerks","539","493","547","342","524","151",545,"41.1","43-5071","   71.94","  249.61","  142.79","   36.52","   39.79","    3.27","   1.09","2013","43-507"
"479","Social and community service managers","1042","280","1150","94","1004","185",323.5,"47.5","2648679","    4.53","   26.20","   46.91","   20.70","  121.31","   88.96","  14.88","2013","264867"
"480","Stationary engineers and boiler operators","903","90","922","84","-","5",106,"48.6","51-8021","    6.04","   41.87","   32.54","   12.08","   10.92","    2.44","   0.32","2013","51-802"
"481","Statistical assistants","-","18","-","8","-","10",28,"–","43-9111","    0.70","    7.08","    8.34","    3.30","    6.86","    1.37","   0.36","2013","43-911"
"482","Stock clerks and order fillers","496","918","503","596","484","321",1480.5,"35.200000000000003","43-5081","  202.83","  649.94","  371.61","  111.04","  121.40","   20.73","   2.96","2013","43-508"
"483","Structural iron and steel workers","-","38","-","38","-","0",57,"–","47-2221","    9.52","   26.22","   13.85","    3.93","    3.25","    0.06","   0.17","2013","47-222"
"484","Structural metal fabricators and fitters","-","21","-","21","-","0",24,"–","51-2041","    3.07","   11.74","    5.69","    2.64","    0.82","    0.07","   0.00","2013","51-204"
"485","Surveying and mapping technicians","-","48","-","43","-","5",65.5,"44.7","17-3031","    2.95","   17.36","   24.82","   13.49","    6.09","    0.79","   0.07","2013","17-303"
"486","Switchboard operators, including answering service","-","22","-","6","-","16",33.5,"–","43-2011","    1.57","   11.52","   11.86","    3.75","    3.92","    0.84","   0.03","2013","43-201"
"487","Tax examiners and collectors, and revenue agents","952","62","-","19","-","43",71,"45.6","13-2081","    0.85","   13.06","   18.53","    6.32","   24.07","    7.24","   0.92","2013","13-208"
"488","Taxi drivers and chauffeurs","521","202","540","172","-","30",337,"49.2","53-3041","   51.90","  125.36","   80.88","   22.58","   44.15","   10.11","   2.02","2013","53-304"
"489","Teacher assistants","479","571","501","70","475","501",908,"44.8","25-9041","   23.61","  266.04","  263.32","  133.48","  174.34","   41.77","   5.45","2013","25-904"
"490","Telemarketers","-","49","-","18","-","32",95,"31.3","41-9041","    5.13","   29.36","   31.35","   10.26","   15.68","    2.75","   0.48","2013","41-904"
"491","Telephone operators","-","20","-","3","-","17",35.5,"–","43-2021","    2.06","   11.64","   13.13","    3.69","    4.15","    0.71","   0.07","2013","43-202"
"492","Tellers","494","265","-","36","494","229",374.5,"30.9","43-3071","    6.37","  130.33","  124.33","   42.32","   63.29","    7.49","   0.37","2013","43-307"
"493","Tool and die makers","908","55","911","55","-","1",54.5,"51.1","51-4111","    4.14","   20.66","   18.75","    8.45","    2.18","    0.38","   0.00","2013","51-411"
"494","Total, all occupations","776","104262","860","57994","706","46268",143199,"42.4","00-0000","12744.71","35226.95","31074.18","13317.51","31646.98","13460.71","5871.16","2013","00-000"
"495","Training and development managers","-","33","-","16","-","17",35,"–","449919","    0.18","    1.92","    5.95","    3.29","   14.38","    8.19","   1.08","2013","449919"
"496","Training and development specialists","1079","109","-","47","979","62",122.5,"42.5","13-1151","    1.84","   15.68","   29.03","   12.25","   41.53","   19.84","   2.21","2013","13-115"
"497","Transportation attendants, except flight attendants","-","30","-","14","-","16",37.5,"–","53-6061","    4.84","   15.75","    9.94","    2.81","    3.52","    0.60","   0.08","2013","53-606"
"498","Transportation inspectors","-","41","-","35","-","6",40.5,"–","53-6051","    2.59","   12.35","   13.65","    5.26","    5.67","    0.61","   0.36","2013","53-605"
"499","Transportation, storage, and distribution managers","1005","252","1029","194","920","58",275.5,"45.8","428005","   15.15","   81.82","   70.53","   24.52","   61.71","   20.66","   1.38","2013","428005"
"500","Travel agents","-","42","-","10","-","32",75,"53.2","41-3041","    1.28","   12.30","   23.32","    9.83","   23.18","    4.05","   1.05","2013","41-304"
"501","Urban and regional planners","-","20","-","12","-","7",24,"–","19-3051","    0.00","    0.34","    1.03","    0.41","    8.88","   12.14","   1.18","2013","19-305"
"502","Ushers, lobby attendants, and ticket takers","-","9","-","4","-","5",41,"–","39-3031","    3.73","   14.72","    9.59","    2.54","    9.39","    0.82","   0.20","2013","39-303"
"503","Veterinarians","-","41","-","18","-","23",86,"46.8","29-1131","    0.00","    0.17","    0.00","    0.17","    2.58","    1.55","  81.44","2013","29-113"
"504","Waiters and waitresses","413","883","449","325","400","558",2124,"26.2","35-3031","  297.36","  694.55","  605.34","  184.79","  295.24","   38.23","   6.37","2013","35-303"
"505","Water and wastewater treatment plant and system operators","828","68","829","64","-","4",70,"49.8","51-8031","    3.22","   27.37","   24.15","    7.63","    6.79","    0.84","   0.07","2013","51-803"
"506","Weighers, measurers, checkers, and samplers, recordkeeping","624","74","-","37","-","37",79,"46.5","43-5111","    9.48","   31.52","   20.22","    6.56","    8.93","    2.13","   0.16","2013","43-511"
