"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"2496","Statistical assistants","-","-","-",18,"–","43-9111","2011","43-911","some.college..no.degree",6.21,"hs-college"
"2497","Stock clerks and order fillers","492","488","501",1503,"34.200000000000003","43-5081","2011","43-508","some.college..no.degree",387.77,"hs-college"
"2498","Structural iron and steel workers","870","870","-",66,"38.5","47-2221","2011","47-222","some.college..no.degree",16.57,"hs-college"
"2499","Structural metal fabricators and fitters","-","-","-",32,"–","51-2041","2011","51-204","some.college..no.degree",8.77,"hs-college"
"2500","Surveying and mapping technicians","777","-","-",62,"43.1","17-3031","2011","17-303","some.college..no.degree",22.82,"hs-college"
"2501","Switchboard operators, including answering service","-","-","-",39,"–","43-2011","2011","43-201","some.college..no.degree",13.38,"hs-college"
"2502","Tax examiners and collectors, and revenue agents","920","-","-",70,"47.3","13-2081","2011","13-208","some.college..no.degree",16.73,"hs-college"
"2503","Taxi drivers and chauffeurs","553","576","-",342,"48.8","53-3041","2011","53-304","some.college..no.degree",83.11,"hs-college"
"2504","Teacher assistants","480","-","471",950,"44.9","25-9041","2011","25-904","some.college..no.degree",285.95,"hs-college"
"2505","Telemarketers","412","-","-",108,"30.5","41-9041","2011","41-904","some.college..no.degree",37.15,"hs-college"
"2506","Telephone operators","-","-","-",40,"–","43-2021","2011","43-202","some.college..no.degree",15.12,"hs-college"
"2507","Tellers","492","-","500",413,"31.8","43-3071","2011","43-307","some.college..no.degree",133.81,"hs-college"
"2508","Tool and die makers","920","930","-",66,"51","51-4111","2011","51-411","some.college..no.degree",22.97,"hs-college"
"2509","Training and development managers","-","-","-",38,"–","449919","2011","449919","some.college..no.degree",6.57,"hs-college"
"2510","Training and development specialists","1059","1260","951",130,"45","13-1151","2011","13-115","some.college..no.degree",32.5,"hs-college"
"2511","Transportation attendants, except flight attendants","-","-","-",32,"–","53-6061","2011","53-606","some.college..no.degree",8.7,"hs-college"
"2512","Transportation inspectors","-","-","-",32,"–","53-6051","2011","53-605","some.college..no.degree",10.11,"hs-college"
"2513","Transportation, storage, and distribution managers","882","861","-",254,"43.8","428005","2011","428005","some.college..no.degree",73.41,"hs-college"
"2514","Travel agents","-","-","-",69,"51.1","41-3041","2011","41-304","some.college..no.degree",21.25,"hs-college"
"2515","Urban and regional planners","-","-","-",26,"–","19-3051","2011","19-305","some.college..no.degree",1.07,"hs-college"
"2516","Ushers, lobby attendants, and ticket takers","-","-","-",46,"–","39-3031","2011","39-303","some.college..no.degree",12.01,"hs-college"
"2517","Veterinarians","-","-","-",71,"42.6","29-1131","2011","29-113","some.college..no.degree",0,"hs-college"
"2518","Waiters and waitresses","407","466","389",2059,"26.1","35-3031","2011","35-303","some.college..no.degree",601.23,"hs-college"
"2519","Water and wastewater treatment plant and system operators","780","788","-",71,"48.4","51-8031","2011","51-803","some.college..no.degree",25.21,"hs-college"
"2520","Weighers, measurers, checkers, and samplers, recordkeeping","596","-","-",70,"44.9","43-5111","2011","43-511","some.college..no.degree",20.23,"hs-college"
"2521","Accountants and auditors","1516","571","945",1789.5,"43.2","13-2011","2013","13-201","some.college..no.degree",143.16,"hs-college"
"2522","Actors","18","8","10",41.5,"–","27-2011","2013","27-201","some.college..no.degree",7.8,"hs-college"
"2523","Actuaries","25","17","9",27,"–","15-2011","2013","15-201","some.college..no.degree",0.4,"hs-college"
"2524","Adhesive bonding machine operators and tenders","11","5","5",10.5,"–","51-9191","2013","51-919","some.college..no.degree",1.69,"hs-college"
"2525","Administrative services managers","109","71","38",128.5,"49.4","406090","2013","406090","some.college..no.degree",37.52,"hs-college"
"2526","Advertising and promotions managers","53","18","35",64,"40.299999999999997","40848","2013","40848","some.college..no.degree",6.4,"hs-college"
"2527","Advertising sales agents","207","110","96",234,"39.299999999999997","41-3011","2013","41-301","some.college..no.degree",52.42,"hs-college"
"2528","Aerospace engineers","137","124","13",131.5,"45.1","17-2011","2013","17-201","some.college..no.degree",8.55,"hs-college"
"2529","Agents and business managers of artists, performers, and athletes","38","20","18",53,"37","13-1011","2013","13-101","some.college..no.degree",11.02,"hs-college"
"2530","Agricultural and food science technicians","23","12","12",30,"–","19-4011","2013","19-401","some.college..no.degree",7.74,"hs-college"
"2531","Agricultural inspectors","11","8","3",14,"–","45-2011","2013","45-201","some.college..no.degree",3,"hs-college"
"2532","Aircraft mechanics and service technicians","155","152","3",157.5,"47.5","49-3011","2013","49-301","some.college..no.degree",62.37,"hs-college"
"2533","Aircraft structure, surfaces, rigging, and systems assemblers","16","13","3",18.5,"–","51-2011","2013","51-201","some.college..no.degree",7.4,"hs-college"
"2534","Ambulance drivers and attendants, except emergency medical technicians","12","9","3",18.5,"–","53-3011","2013","53-301","some.college..no.degree",5.42,"hs-college"
"2535","Animal control workers","10","6","4",11,"–","33-9011","2013","33-901","some.college..no.degree",3.02,"hs-college"
"2536","Animal trainers","8","3","5",40,"–","39-2011","2013","39-201","some.college..no.degree",10.92,"hs-college"
"2537","Appraisers and assessors of real estate","60","33","27",95.5,"49.9","13-2021","2013","13-202","some.college..no.degree",24.26,"hs-college"
"2538","Architectural and engineering managers","117","104","13",120.5,"49.7","2608503","2013","260850","some.college..no.degree",8.31,"hs-college"
"2539","Atmospheric and space scientists","11","9","2",14.5,"–","19-2021","2013","19-202","some.college..no.degree",1.48,"hs-college"
"2540","Audiologists","10","3","7",15,"–","29-1181","2013","29-118","some.college..no.degree",0.48,"hs-college"
"2541","Automotive and watercraft service attendants","78","67","12",93,"27.3","53-6031","2013","53-603","some.college..no.degree",21.67,"hs-college"
"2542","Automotive body and related repairers","124","123","1",154,"43.2","49-3021","2013","49-302","some.college..no.degree",29.26,"hs-college"
"2543","Avionics technicians","10","6","4",12,"–","49-2091","2013","49-209","some.college..no.degree",5.32,"hs-college"
"2544","Bakers","117","56","61",203,"39.1","51-3011","2013","51-301","some.college..no.degree",40.8,"hs-college"
"2545","Barbers","60","51","9",118,"41.2","39-5011","2013","39-501","some.college..no.degree",31.62,"hs-college"
"2546","Bartenders","207","98","109",414.5,"31.3","35-3011","2013","35-301","some.college..no.degree",147.56,"hs-college"
"2547","Bill and account collectors","156","45","111",191.5,"39.4","43-3011","2013","43-301","some.college..no.degree",73.15,"hs-college"
"2548","Billing and posting clerks","422","42","380",486,"44","43-3021","2013","43-302","some.college..no.degree",174.96,"hs-college"
"2549","Biological technicians","16","9","8",20,"–","19-4021","2013","19-402","some.college..no.degree",4.2,"hs-college"
"2550","Boilermakers","14","14","0",20.5,"–","47-2011","2013","47-201","some.college..no.degree",6.33,"hs-college"
"2551","Bookkeeping, accounting, and auditing clerks","804","102","702",1254.5,"50","43-3031","2013","43-303","some.college..no.degree",482.98,"hs-college"
"2552","Brokerage clerks","2","1","1",3.5,"–","43-4011","2013","43-401","some.college..no.degree",0.7,"hs-college"
"2553","Budget analysts","58","31","26",58.5,"43.8","13-2031","2013","13-203","some.college..no.degree",8.89,"hs-college"
"2554","Bus and truck mechanics and diesel engine specialists","302","301","0",316,"41.7","49-3031","2013","49-303","some.college..no.degree",77.74,"hs-college"
"2555","Business operations specialists, all other","180","69","110",223,"43.7","13-1199","2013","13-119","some.college..no.degree",40.36,"hs-college"
"2556","Buyers and purchasing agents, farm products","17","11","5",13.5,"–","13-1021","2013","13-102","some.college..no.degree",2.73,"hs-college"
"2557","Cabinetmakers and bench carpenters","28","27","0",46,"–","51-7011","2013","51-701","some.college..no.degree",9.06,"hs-college"
"2558","Cargo and freight agents","26","17","9",26.5,"–","43-5011","2013","43-501","some.college..no.degree",8.61,"hs-college"
"2559","Carpenters","712","703","10",1193.5,"42.2","47-2031","2013","47-203","some.college..no.degree",247.05,"hs-college"
"2560","Chefs and head cooks","351","282","69",414,"38.5","35-1011","2013","35-101","some.college..no.degree",93.15,"hs-college"
"2561","Chemical engineers","56","48","8",66,"44.7","17-2041","2013","17-204","some.college..no.degree",3.3,"hs-college"
"2562","Chemical technicians","62","41","21",65.5,"45.3","19-4031","2013","19-403","some.college..no.degree",15.52,"hs-college"
"2563","Childcare workers","441","31","410",1272,"37.700000000000003","39-9011","2013","39-901","some.college..no.degree",338.35,"hs-college"
"2564","Chiropractors","13","12","1",58,"44.4","29-1011","2013","29-101","some.college..no.degree",1.04,"hs-college"
"2565","Civil engineers","324","288","36",359,"43.6","17-2051","2013","17-205","some.college..no.degree",22.26,"hs-college"
"2566","Cleaners of vehicles and equipment","235","206","28",331.5,"31.1","53-7061","2013","53-706","some.college..no.degree",49.39,"hs-college"
"2567","Clergy","343","296","47",409,"51.8","21-2011","2013","21-201","some.college..no.degree",46.63,"hs-college"
"2568","Coin, vending, and amusement machine servicers and repairers","32","28","4",36.5,"–","49-9091","2013","49-909","some.college..no.degree",10.55,"hs-college"
"2569","Combined food preparation and serving workers, including fast food","175","68","107",360,"27.6","35-3021","2013","35-302","some.college..no.degree",82.8,"hs-college"
"2570","Communications equipment operators, all other","2","0","2",6,"–","43-2099","2013","43-209","some.college..no.degree",2.23,"hs-college"
"2571","Compensation and benefits managers","11","3","8",13.5,"–","442614","2013","442614","some.college..no.degree",2.66,"hs-college"
"2572","Compensation, benefits, and job analysis specialists","72","14","59",77,"43.6","13-1141","2013","13-114","some.college..no.degree",17.32,"hs-college"
"2573","Compliance officers","182","83","99",197,"48","13-1041","2013","13-104","some.college..no.degree",36.25,"hs-college"
"2574","Computer and information research scientists","15","12","3",23.5,"–","15-1111","2013","15-111","some.college..no.degree",1.1,"hs-college"
"2575","Computer and information systems managers","570","407","163",603.5,"44.3","409743","2013","409743","some.college..no.degree",89.32,"hs-college"
"2576","Computer hardware engineers","92","82","10",90.5,"41.7","17-2061","2013","17-206","some.college..no.degree",9.32,"hs-college"
"2577","Computer occupations, all other","359","277","81",375.5,"41.5","15-1199","2013","15-119","some.college..no.degree",84.11,"hs-college"
"2578","Computer operators","80","41","39",98.5,"47.2","43-9011","2013","43-901","some.college..no.degree",28.47,"hs-college"
"2579","Computer programmers","437","332","106",484.5,"42.8","15-1131","2013","15-113","some.college..no.degree",63.47,"hs-college"
"2580","Computer systems analysts","443","285","158",516.5,"41.6","15-1121","2013","15-112","some.college..no.degree",74.89,"hs-college"
"2581","Computer, automated teller, and office machine repairers","240","211","29",290.5,"42","49-2011","2013","49-201","some.college..no.degree",94.99,"hs-college"
"2582","Construction and building inspectors","73","67","5",109.5,"53.3","47-4011","2013","47-401","some.college..no.degree",35.26,"hs-college"
"2583","Construction laborers","1087","1058","29",1461.5,"38.799999999999997","47-2061","2013","47-206","some.college..no.degree",251.38,"hs-college"
"2584","Construction managers","414","376","38",902,"46.9","2601198","2013","260119","some.college..no.degree",219.19,"hs-college"
"2585","Cost estimators","102","89","13",118.5,"46.7","13-1051","2013","13-105","some.college..no.degree",34.72,"hs-college"
"2586","Counter and rental clerks","58","35","24",120,"44.1","41-2021","2013","41-202","some.college..no.degree",30.96,"hs-college"
"2587","Couriers and messengers","127","112","16",205.5,"46.1","43-5021","2013","43-502","some.college..no.degree",66.17,"hs-college"
"2588","Court, municipal, and license clerks","74","21","53",83,"48.4","43-4031","2013","43-403","some.college..no.degree",28.22,"hs-college"
"2589","Crane and tower operators","70","69","1",67,"45.1","53-7021","2013","53-702","some.college..no.degree",14,"hs-college"
"2590","Credit analysts","31","12","19",30,"–","13-2041","2013","13-204","some.college..no.degree",6.48,"hs-college"
"2591","Credit authorizers, checkers, and clerks","40","10","30",41.5,"–","43-4041","2013","43-404","some.college..no.degree",13.53,"hs-college"
"2592","Crossing guards","14","7","7",61,"50.2","33-9091","2013","33-909","some.college..no.degree",14.58,"hs-college"
"2593","Customer service representatives","1615","547","1068",2012.5,"36.700000000000003","43-4051","2013","43-405","some.college..no.degree",654.06,"hs-college"
"2594","Data entry keyers","235","46","189",322,"41.9","43-9021","2013","43-902","some.college..no.degree",107.87,"hs-college"
"2595","Database administrators","95","65","30",99.5,"42","15-1141","2013","15-114","some.college..no.degree",13.73,"hs-college"
"2596","Dental assistants","181","7","174",276.5,"36.799999999999997","31-9091","2013","31-909","some.college..no.degree",111.98,"hs-college"
"2597","Dental hygienists","82","2","80",173.5,"43.9","29-2021","2013","29-202","some.college..no.degree",13.88,"hs-college"
"2598","Detectives and criminal investigators","159","128","30",159,"43.5","33-3021","2013","33-302","some.college..no.degree",36.41,"hs-college"
"2599","Dietitians and nutritionists","82","10","71",113,"45.5","29-1031","2013","29-103","some.college..no.degree",8.14,"hs-college"
"2600","Directors, religious activities and education","41","20","21",59,"45","21-2021","2013","21-202","some.college..no.degree",8.91,"hs-college"
"2601","Dishwashers","127","106","21",286,"29","35-9021","2013","35-902","some.college..no.degree",31.75,"hs-college"
"2602","Door-to-door sales workers, news and street vendors, and related workers","34","23","11",194.5,"46.7","41-9091","2013","41-909","some.college..no.degree",48.62,"hs-college"
"2603","Earth drillers, except oil and gas","26","26","0",34,"–","47-5021","2013","47-502","some.college..no.degree",6.77,"hs-college"
"2604","Economists","29","15","14",30,"–","19-3011","2013","19-301","some.college..no.degree",0.18,"hs-college"
"2605","Editors","112","53","59",154.5,"40","27-3041","2013","27-304","some.college..no.degree",14.06,"hs-college"
"2606","Electrical power-line installers and repairers","113","112","1",113.5,"38.9","49-9051","2013","49-905","some.college..no.degree",42.34,"hs-college"
"2607","Electricians","641","630","11",711,"42.8","47-2111","2013","47-211","some.college..no.degree",234.63,"hs-college"
"2608","Elevator installers and repairers","25","25","0",26.5,"–","47-4021","2013","47-402","some.college..no.degree",8.75,"hs-college"
"2609","Eligibility interviewers, government programs","75","15","60",83.5,"45.1","43-4061","2013","43-406","some.college..no.degree",21.38,"hs-college"
"2610","Emergency management directors","9","6","3",6.5,"–","2652332","2013","265233","some.college..no.degree",1.2,"hs-college"
"2611","Emergency medical technicians and paramedics","140","82","58",174,"34.6","29-2041","2013","29-204","some.college..no.degree",81.61,"hs-college"
"2612","Engine and other machine assemblers","19","17","2",26,"–","51-2031","2013","51-203","some.college..no.degree",5.23,"hs-college"
"2613","Entertainers and performers, sports and related workers, all other","9","2","7",38,"–","27-2099","2013","27-209","some.college..no.degree",10.94,"hs-college"
"2614","Environmental engineers","28","22","6",38,"–","17-2081","2013","17-208","some.college..no.degree",1.41,"hs-college"
"2615","Explosives workers, ordnance handling experts, and blasters","8","8","0",8,"–","47-5031","2013","47-503","some.college..no.degree",2.51,"hs-college"
"2616","Extruding and drawing machine setters, operators, and tenders, metal and plastic","16","14","2",11.5,"–","51-4021","2013","51-402","some.college..no.degree",2.59,"hs-college"
"2617","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","31","26","5",35.5,"–","51-9041","2013","51-904","some.college..no.degree",7.95,"hs-college"
"2618","Farmers, ranchers, and other agricultural managers","97","78","19",936.5,"56.1","2598276","2013","259827","some.college..no.degree",185.43,"hs-college"
"2619","Fence erectors","24","24","0",34,"–","47-4031","2013","47-403","some.college..no.degree",5.75,"hs-college"
"2620","File clerks","182","42","140",274.5,"40.799999999999997","43-4071","2013","43-407","some.college..no.degree",88.11,"hs-college"
"2621","Financial analysts","89","56","33",97,"38.700000000000003","13-2051","2013","13-205","some.college..no.degree",7.76,"hs-college"
"2622","Financial clerks, all other","54","20","34",53.5,"42.7","43-3099","2013","43-309","some.college..no.degree",14.71,"hs-college"
"2623","Financial examiners","10","4","6",14,"–","13-2061","2013","13-206","some.college..no.degree",1.82,"hs-college"
"2624","Financial managers","1127","514","613",1223,"43.8","413395","2013","413395","some.college..no.degree",232.37,"hs-college"
"2625","Financial specialists, all other","87","38","49",88,"40.5","13-2099","2013","13-209","some.college..no.degree",14.61,"hs-college"
"2626","Firefighters","294","285","9",300.5,"40.1","33-2011","2013","33-201","some.college..no.degree",130.72,"hs-college"
"2627","First-line supervisors of construction trades and extraction workers","509","501","8",632.5,"46.2","47-1011","2013","47-101","some.college..no.degree",163.19,"hs-college"
"2628","First-line supervisors of correctional officers","33","28","5",41,"–","33-1011","2013","33-101","some.college..no.degree",14.1,"hs-college"
"2629","First-line supervisors of farming, fishing, and forestry workers","34","25","8",49,"–","45-1011","2013","45-101","some.college..no.degree",8.87,"hs-college"
"2630","First-line supervisors of fire fighting and prevention workers","60","60","0",61,"45.6","33-1021","2013","33-102","some.college..no.degree",22.51,"hs-college"
"2631","First-line supervisors of housekeeping and janitorial workers","186","108","78",299.5,"48.6","37-1011","2013","37-101","some.college..no.degree",80.57,"hs-college"
"2632","First-line supervisors of mechanics, installers, and repairers","258","229","29",279,"48.1","49-1011","2013","49-101","some.college..no.degree",86.21,"hs-college"
"2633","First-line supervisors of office and administrative support workers","1224","395","828",1389.5,"45.7","43-1011","2013","43-101","some.college..no.degree",407.12,"hs-college"
"2634","First-line supervisors of personal service workers","72","28","44",237,"44.7","39-1021","2013","39-102","some.college..no.degree",66.12,"hs-college"
"2635","First-line supervisors of production and operating workers","675","550","125",769.5,"47.2","51-1011","2013","51-101","some.college..no.degree",203.15,"hs-college"
"2636","First-line supervisors of protective service workers, all other","82","57","25",96.5,"47","33-1099","2013","33-109","some.college..no.degree",30.78,"hs-college"
"2637","First-line supervisors of retail sales workers","2320","1338","981",3230,"43","41-1011","2013","41-101","some.college..no.degree",930.24,"hs-college"
"2638","Flight attendants","69","16","54",88.5,"49.4","53-2031","2013","53-203","some.college..no.degree",30,"hs-college"
"2639","Food and tobacco roasting, baking, and drying machine operators and tenders","6","4","2",10.5,"–","51-3091","2013","51-309","some.college..no.degree",2.52,"hs-college"
"2640","Food preparation workers","398","206","191",876.5,"27.8","35-2021","2013","35-202","some.college..no.degree",170.04,"hs-college"
"2641","Food servers, nonrestaurant","109","36","74",223,"33.200000000000003","35-3041","2013","35-304","some.college..no.degree",49.95,"hs-college"
"2642","Food service managers","716","381","335",1081,"40","2612155","2013","261215","some.college..no.degree",303.76,"hs-college"
"2643","Forest and conservation workers","11","10","1",13.5,"–","45-4011","2013","45-401","some.college..no.degree",3.01,"hs-college"
"2644","Fundraisers","80","22","58",83.5,"42.9","13-1131","2013","13-113","some.college..no.degree",7.18,"hs-college"
"2645","Furnace, kiln, oven, drier, and kettle operators and tenders","10","10","0",15.5,"–","51-9051","2013","51-905","some.college..no.degree",3.52,"hs-college"
"2646","Furniture finishers","5","4","1",7,"–","51-7021","2013","51-702","some.college..no.degree",1.24,"hs-college"
"2647","Gaming cage workers","12","6","6",11,"–","43-3041","2013","43-304","some.college..no.degree",3.75,"hs-college"
"2648","Gaming managers","16","12","4",21.5,"–","2619460","2013","261946","some.college..no.degree",6.32,"hs-college"
"2649","General and operations managers","947","698","250",1069.5,"45.6","11-1021","2013","11-102","some.college..no.degree",252.4,"hs-college"
"2650","Glaziers","31","31","0",41.5,"–","47-2121","2013","47-212","some.college..no.degree",8.22,"hs-college"
"2651","Graders and sorters, agricultural products","91","34","57",106,"42.4","45-2041","2013","45-204","some.college..no.degree",9.96,"hs-college"
"2652","Hazardous materials removal workers","28","20","8",35,"–","47-4041","2013","47-404","some.college..no.degree",7.81,"hs-college"
"2653","Health diagnosing and treating practitioners, all other","7","1","6",24,"–","29-1199","2013","29-119","some.college..no.degree",1.82,"hs-college"
"2654","Heating, air conditioning, and refrigeration mechanics and installers","316","313","3",362,"41.1","49-9021","2013","49-902","some.college..no.degree",111.86,"hs-college"
"2655","Highway maintenance workers","95","95","0",102.5,"48.1","47-4051","2013","47-405","some.college..no.degree",22.86,"hs-college"
"2656","Home appliance repairers","38","38","0",49.5,"48.2","49-9031","2013","49-903","some.college..no.degree",14.4,"hs-college"
"2657","Hosts and hostesses, restaurant, lounge, and coffee shop","69","9","60",279.5,"21.8","35-9031","2013","35-903","some.college..no.degree",74.07,"hs-college"
"2658","Hotel, motel, and resort desk clerks","71","21","50",111,"30.1","43-4081","2013","43-408","some.college..no.degree",39.18,"hs-college"
"2659","Human resources assistants, except payroll and timekeeping","129","26","103",132.5,"42.6","43-4161","2013","43-416","some.college..no.degree",44.12,"hs-college"
"2660","Human resources managers","211","60","152",221.5,"44.3","446267","2013","446267","some.college..no.degree",46.07,"hs-college"
"2661","Industrial production managers","256","215","41",258.5,"47.6","420700","2013","420700","some.college..no.degree",60.75,"hs-college"
"2662","Industrial truck and tractor operators","542","510","32",547,"40","53-7051","2013","53-705","some.college..no.degree",107.21,"hs-college"
"2663","Information and record clerks, all other","85","23","62",103.5,"44.2","43-4199","2013","43-419","some.college..no.degree",31.88,"hs-college"
"2664","Inspectors, testers, sorters, samplers, and weighers","650","439","211",687.5,"43.8","51-9061","2013","51-906","some.college..no.degree",187.69,"hs-college"
"2665","Insurance claims and policy processing clerks","252","46","206",258.5,"41.5","43-9041","2013","43-904","some.college..no.degree",89.96,"hs-college"
"2666","Insurance sales agents","431","216","216",571,"45.6","41-3021","2013","41-302","some.college..no.degree",150.17,"hs-college"
"2667","Interviewers, except eligibility and loan","110","21","89",140.5,"42.2","43-4111","2013","43-411","some.college..no.degree",47.35,"hs-college"
"2668","Jewelers and precious stone and metal workers","23","17","6",50,"48.6","51-9071","2013","51-907","some.college..no.degree",13.7,"hs-college"
"2669","Laundry and dry-cleaning workers","121","50","71",176,"43.2","51-6011","2013","51-601","some.college..no.degree",24.82,"hs-college"
"2670","Librarians","149","28","121",187.5,"50.5","25-4021","2013","25-402","some.college..no.degree",18.56,"hs-college"
"2671","Library assistants, clerical","50","8","42",92,"39.4","43-4121","2013","43-412","some.college..no.degree",22.54,"hs-college"
"2672","Library technicians","18","4","14",42,"–","25-4031","2013","25-403","some.college..no.degree",6.8,"hs-college"
"2673","Licensed practical and licensed vocational nurses","444","40","404",544.5,"43.8","29-2061","2013","29-206","some.college..no.degree",301.65,"hs-college"
"2674","Loan interviewers and clerks","158","29","129",156,"39.9","43-4131","2013","43-413","some.college..no.degree",51.17,"hs-college"
"2675","Lodging managers","98","45","53",148.5,"47.1","2623113","2013","262311","some.college..no.degree",35.79,"hs-college"
"2676","Logisticians","91","58","33",91,"46.1","13-1081","2013","13-108","some.college..no.degree",25.03,"hs-college"
"2677","Machinists","388","367","21",397.5,"46.2","51-4041","2013","51-404","some.college..no.degree",109.71,"hs-college"
"2678","Mail clerks and mail machine operators, except postal service","48","26","22",78,"50","43-9051","2013","43-905","some.college..no.degree",22.7,"hs-college"
"2679","Maintenance and repair workers, general","405","386","18",452,"47.9","49-9071","2013","49-907","some.college..no.degree",125.66,"hs-college"
"2680","Management analysts","547","318","229",792,"47.2","13-1111","2013","13-111","some.college..no.degree",98.21,"hs-college"
"2681","Marine engineers and naval architects","12","12","0",9.5,"–","17-2121","2013","17-212","some.college..no.degree",0.93,"hs-college"
"2682","Market research analysts and marketing specialists","190","80","110",230,"38.5","13-1161","2013","13-116","some.college..no.degree",24.38,"hs-college"
"2683","Massage therapists","48","15","32",165,"41.8","31-9011","2013","31-901","some.college..no.degree",60.72,"hs-college"
"2684","Materials engineers","43","36","7",43,"–","17-2131","2013","17-213","some.college..no.degree",4.56,"hs-college"
"2685","Mechanical engineers","297","273","24",307.5,"42.4","17-2141","2013","17-214","some.college..no.degree",31.06,"hs-college"
"2686","Medical and health services managers","529","154","375",585,"48.3","2634069","2013","263406","some.college..no.degree",89.5,"hs-college"
"2687","Medical records and health information technicians","78","6","72",89,"49.8","29-2071","2013","29-207","some.college..no.degree",31.6,"hs-college"
"2688","Meeting, convention, and event planners","95","15","80",128.5,"37.6","13-1121","2013","13-112","some.college..no.degree",23.77,"hs-college"
"2689","Meter readers, utilities","24","19","6",29,"–","43-5041","2013","43-504","some.college..no.degree",8.76,"hs-college"
"2690","Morticians, undertakers, and funeral directors","28","21","7",38.5,"–","39-4031","2013","39-403","some.college..no.degree",9.36,"hs-college"
"2691","Motion picture projectionists","3","1","2",3.5,"–","39-3021","2013","39-302","some.college..no.degree",1.28,"hs-college"
"2692","Motor vehicle operators, all other","39","37","3",68.5,"59.3","53-3099","2013","53-309","some.college..no.degree",15.41,"hs-college"
"2693","Natural sciences managers","12","8","4",16,"–","2637722","2013","263772","some.college..no.degree",0.64,"hs-college"
"2694","New accounts clerks","29","3","26",25.5,"–","43-4141","2013","43-414","some.college..no.degree",9.15,"hs-college"
"2695","Nonfarm animal caretakers","78","22","57",177,"32.1","39-2021","2013","39-202","some.college..no.degree",48.14,"hs-college"
"2696","Nurse anesthetists","22","7","14",25.5,"–","29-1151","2013","29-115","some.college..no.degree",1.25,"hs-college"
"2697","Occupational therapists","78","11","68",115,"40.700000000000003","29-1122","2013","29-112","some.college..no.degree",1.61,"hs-college"
"2698","Office clerks, general","852","118","734",1143.5,"42.7","43-9061","2013","43-906","some.college..no.degree",386.5,"hs-college"
"2699","Office machine operators, except computer","35","14","21",43.5,"–","43-9071","2013","43-907","some.college..no.degree",12.35,"hs-college"
"2700","Operations research analysts","119","56","63",129,"44.8","15-2031","2013","15-203","some.college..no.degree",21.41,"hs-college"
"2701","Opticians, dispensing","37","13","25",50.5,"–","29-2081","2013","29-208","some.college..no.degree",18.43,"hs-college"
"2702","Optometrists","14","11","2",37,"–","29-1041","2013","29-104","some.college..no.degree",0,"hs-college"
"2703","Packaging and filling machine operators and tenders","297","137","159",282.5,"39.9","51-9111","2013","51-911","some.college..no.degree",42.09,"hs-college"
"2704","Paralegals and legal assistants","337","50","287",411,"42","23-2011","2013","23-201","some.college..no.degree",99.05,"hs-college"
"2705","Parking lot attendants","50","43","7",84.5,"28.3","53-6021","2013","53-602","some.college..no.degree",20.36,"hs-college"
"2706","Paving, surfacing, and tamping equipment operators","18","18","1",22.5,"–","47-2071","2013","47-207","some.college..no.degree",1.3,"hs-college"
"2707","Payroll and timekeeping clerks","128","9","118",155.5,"47.6","43-3051","2013","43-305","some.college..no.degree",57.54,"hs-college"
"2708","Personal care aides","657","119","539",1156.5,"44.2","39-9021","2013","39-902","some.college..no.degree",311.1,"hs-college"
"2709","Personal care and service workers, all other","36","22","13",100,"35.299999999999997","39-9099","2013","39-909","some.college..no.degree",29.4,"hs-college"
"2710","Pest control workers","62","60","2",75,"42.9","37-2021","2013","37-202","some.college..no.degree",22.5,"hs-college"
"2711","Pharmacists","215","98","117",281.5,"42.7","29-1051","2013","29-105","some.college..no.degree",3.94,"hs-college"
"2712","Photographers","48","31","17",179,"40.1","27-4021","2013","27-402","some.college..no.degree",40.81,"hs-college"
"2713","Photographic process workers and processing machine operators","26","15","11",49,"–","51-9151","2013","51-915","some.college..no.degree",13.33,"hs-college"
"2714","Physical scientists, all other","132","88","44",156,"43.2","19-2099","2013","19-209","some.college..no.degree",0.78,"hs-college"
"2715","Physician assistants","103","36","67",118.5,"39.200000000000003","29-1071","2013","29-107","some.college..no.degree",9.36,"hs-college"
"2716","Plasterers and stucco masons","24","24","0",22.5,"–","47-2161","2013","47-216","some.college..no.degree",2.77,"hs-college"
"2717","Podiatrists","4","1","3",10.5,"–","29-1081","2013","29-108","some.college..no.degree",0,"hs-college"
"2718","Postal service clerks","90","45","45",124,"52.1","43-5051","2013","43-505","some.college..no.degree",45.14,"hs-college"
"2719","Prepress technicians and workers","25","17","9",31,"–","51-5111","2013","51-511","some.college..no.degree",8.31,"hs-college"
"2720","Pressers, textile, garment, and related materials","35","18","17",54.5,"45.7","51-6021","2013","51-602","some.college..no.degree",5.72,"hs-college"
"2721","Private detectives and investigators","72","40","32",94.5,"43.5","33-9021","2013","33-902","some.college..no.degree",20.98,"hs-college"
"2722","Procurement clerks","30","12","18",27,"–","43-3061","2013","43-306","some.college..no.degree",8.61,"hs-college"
"2723","Production, planning, and expediting clerks","272","124","148",277,"46.1","43-5061","2013","43-506","some.college..no.degree",79.22,"hs-college"
"2724","Proofreaders and copy markers","3","0","3",8.5,"–","43-9081","2013","43-908","some.college..no.degree",1.51,"hs-college"
"2725","Property, real estate, and community association managers","358","161","198",649,"50.8","2645027","2013","264502","some.college..no.degree",182.37,"hs-college"
