"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"112","First-line supervisors of mechanics, installers, and repairers","947","936","-",313,"49.7","49-1011","2011","49-101","less.hs",20.03,"hs-"
"113","First-line supervisors of office and administrative support workers","764","833","741",1423,"45.7","43-1011","2011","43-101","less.hs",39.84,"hs-"
"114","First-line supervisors of personal service workers","613","-","-",192,"43.1","39-1021","2011","39-102","less.hs",9.41,"hs-"
"115","First-line supervisors of production and operating workers","888","929","665",727,"47.1","51-1011","2011","51-101","less.hs",73.43,"hs-"
"116","First-line supervisors of protective service workers, all other","716","788","-",111,"47.2","33-1099","2011","33-109","less.hs",3.44,"hs-"
"117","First-line supervisors of retail sales workers","676","759","599",3217,"42.6","41-1011","2011","41-101","less.hs",196.24,"hs-"
"118","Flight attendants","791","-","-",88,"45.5","53-2031","2011","53-203","less.hs",0.44,"hs-"
"119","Food and tobacco roasting, baking, and drying machine operators and tenders","-","-","-",12,"–","51-3091","2011","51-309","less.hs",2.82,"hs-"
"120","Food preparation workers","384","395","375",784,"28","35-2021","2011","35-202","less.hs",241.47,"hs-"
"121","Food servers, nonrestaurant","419","-","393",181,"32.299999999999997","35-3041","2011","35-304","less.hs",37.83,"hs-"
"122","Food service managers","660","734","599",1051,"39.700000000000003","2612155","2011","261215","less.hs",94.59,"hs-"
"123","Forest and conservation workers","-","-","-",14,"–","45-4011","2011","45-401","less.hs",3.46,"hs-"
"124","Fundraisers","1064","-","-",78,"41.2","13-1131","2011","13-113","less.hs",1.09,"hs-"
"125","Furnace, kiln, oven, drier, and kettle operators and tenders","-","-","-",11,"–","51-9051","2011","51-905","less.hs",0.95,"hs-"
"126","Furniture finishers","-","-","-",17,"–","51-7021","2011","51-702","less.hs",4.57,"hs-"
"127","Gaming cage workers","-","-","-",5,"–","43-3041","2011","43-304","less.hs",0.46,"hs-"
"128","Gaming managers","-","-","-",23,"–","2619460","2011","261946","less.hs",0.67,"hs-"
"129","General and operations managers","1191","1319","972",978,"45.4","11-1021","2011","11-102","less.hs",21.52,"hs-"
"130","Glaziers","-","-","-",48,"–","47-2121","2011","47-212","less.hs",11.09,"hs-"
"131","Graders and sorters, agricultural products","379","-","363",95,"43.1","45-2041","2011","45-204","less.hs",56.05,"hs-"
"132","Hazardous materials removal workers","-","-","-",32,"–","47-4041","2011","47-404","less.hs",6.88,"hs-"
"133","Health diagnosing and treating practitioners, all other","-","-","-",26,"–","29-1199","2011","29-119","less.hs",0.21,"hs-"
"134","Heating, air conditioning, and refrigeration mechanics and installers","793","795","-",338,"39.4","49-9021","2011","49-902","less.hs",35.83,"hs-"
"135","Highway maintenance workers","708","711","-",105,"45.3","47-4051","2011","47-405","less.hs",15.86,"hs-"
"136","Home appliance repairers","-","-","-",43,"–","49-9031","2011","49-903","less.hs",6.11,"hs-"
"137","Hosts and hostesses, restaurant, lounge, and coffee shop","369","-","356",286,"21.4","35-9031","2011","35-903","less.hs",42.61,"hs-"
"138","Hotel, motel, and resort desk clerks","423","-","416",135,"30.1","43-4081","2011","43-408","less.hs",11.21,"hs-"
"139","Human resources assistants, except payroll and timekeeping","-","-","-",40,"–","43-4161","2011","43-416","less.hs",1.04,"hs-"
"140","Human resources managers","1331","1488","1273",243,"45.1","446267","2011","446267","less.hs",6.56,"hs-"
"141","Industrial production managers","1211","1245","-",259,"46.3","420700","2011","420700","less.hs",9.84,"hs-"
"142","Industrial truck and tractor operators","562","556","-",528,"39.799999999999997","53-7051","2011","53-705","less.hs",127.78,"hs-"
"143","Information and record clerks, all other","744","-","737",118,"45.7","43-4199","2011","43-419","less.hs",2.48,"hs-"
"144","Inspectors, testers, sorters, samplers, and weighers","675","792","541",647,"43.6","51-9061","2011","51-906","less.hs",75.05,"hs-"
"145","Insurance claims and policy processing clerks","660","-","647",246,"41.7","43-9041","2011","43-904","less.hs",4.18,"hs-"
"146","Insurance sales agents","807","1033","665",531,"45.8","41-3021","2011","41-302","less.hs",6.37,"hs-"
"147","Interviewers, except eligibility and loan","546","-","551",153,"40.799999999999997","43-4111","2011","43-411","less.hs",2.91,"hs-"
"148","Jewelers and precious stone and metal workers","-","-","-",41,"–","51-9071","2011","51-907","less.hs",7.83,"hs-"
"149","Laundry and dry-cleaning workers","412","447","386",174,"44.6","51-6011","2011","51-601","less.hs",66.29,"hs-"
"150","Librarians","850","-","813",198,"52","25-4021","2011","25-402","less.hs",0.2,"hs-"
"151","Library assistants, clerical","-","-","-",113,"44.8","43-4121","2011","43-412","less.hs",1.58,"hs-"
"152","Library technicians","-","-","-",37,"–","25-4031","2011","25-403","less.hs",1.29,"hs-"
"153","Licensed practical and licensed vocational nurses","722","-","720",560,"43.2","29-2061","2011","29-206","less.hs",5.6,"hs-"
"154","Loan interviewers and clerks","706","-","696",117,"40.4","43-4131","2011","43-413","less.hs",2.46,"hs-"
"155","Lodging managers","883","-","841",148,"46.7","2623113","2011","262311","less.hs",5.62,"hs-"
"156","Logisticians","864","938","-",88,"41.6","13-1081","2011","13-108","less.hs",1.32,"hs-"
"157","Machinists","755","767","-",419,"45.6","51-4041","2011","51-404","less.hs",42.32,"hs-"
"158","Mail clerks and mail machine operators, except postal service","521","-","-",93,"43.7","43-9051","2011","43-905","less.hs",9.86,"hs-"
"159","Maintenance and repair workers, general","758","756","-",422,"48.4","49-9071","2011","49-907","less.hs",59.08,"hs-"
"160","Management analysts","1355","1514","1174",707,"46.6","13-1111","2011","13-111","less.hs",4.95,"hs-"
"161","Marine engineers and naval architects","-","-","-",9,"–","17-2121","2011","17-212","less.hs",0,"hs-"
"162","Market research analysts and marketing specialists","1157","1446","1029",205,"36.4","13-1161","2011","13-116","less.hs",1.23,"hs-"
"163","Massage therapists","-","-","-",146,"40.5","31-9011","2011","31-901","less.hs",2.63,"hs-"
"164","Materials engineers","-","-","-",32,"–","17-2131","2011","17-213","less.hs",0,"hs-"
"165","Mechanical engineers","1374","1399","-",322,"42.5","17-2141","2011","17-214","less.hs",0.32,"hs-"
"166","Medical and health services managers","1252","1456","1166",529,"49.6","2634069","2011","263406","less.hs",4.76,"hs-"
"167","Medical records and health information technicians","588","-","574",116,"42.7","29-2071","2011","29-207","less.hs",2.44,"hs-"
"168","Meeting, convention, and event planners","889","-","892",109,"37.4","13-1121","2011","13-112","less.hs",1.85,"hs-"
"169","Meter readers, utilities","-","-","-",28,"–","43-5041","2011","43-504","less.hs",1.23,"hs-"
"170","Morticians, undertakers, and funeral directors","-","-","-",23,"–","39-4031","2011","39-403","less.hs",0.34,"hs-"
"171","Motion picture projectionists","-","-","-",8,"–","39-3021","2011","39-302","less.hs",0.32,"hs-"
"172","Motor vehicle operators, all other","-","-","-",62,"51.8","53-3099","2011","53-309","less.hs",10.29,"hs-"
"173","Natural sciences managers","-","-","-",16,"–","2637722","2011","263772","less.hs",0.06,"hs-"
"174","New accounts clerks","-","-","-",33,"–","43-4141","2011","43-414","less.hs",0.56,"hs-"
"175","Nonfarm animal caretakers","419","-","417",179,"37.200000000000003","39-2021","2011","39-202","less.hs",17.54,"hs-"
"176","Nurse anesthetists","-","-","-",33,"–","29-1151","2011","29-115","less.hs",0.1,"hs-"
"177","Occupational therapists","1189","-","1193",112,"41.7","29-1122","2011","29-112","less.hs",0,"hs-"
"178","Office clerks, general","604","712","594",1061,"42.2","43-9061","2011","43-906","less.hs",37.13,"hs-"
"179","Office machine operators, except computer","-","-","-",45,"–","43-9071","2011","43-907","less.hs",3.2,"hs-"
"180","Operations research analysts","1273","1258","1326",116,"41.3","15-2031","2011","15-203","less.hs",0.23,"hs-"
"181","Opticians, dispensing","-","-","-",51,"45.9","29-2081","2011","29-208","less.hs",1.48,"hs-"
"182","Optometrists","-","-","-",28,"–","29-1041","2011","29-104","less.hs",0,"hs-"
"183","Packaging and filling machine operators and tenders","455","505","421",288,"39.1","51-9111","2011","51-911","less.hs",99.36,"hs-"
"184","Paralegals and legal assistants","824","884","813",404,"42.8","23-2011","2011","23-201","less.hs",4.44,"hs-"
"185","Parking lot attendants","-","-","-",73,"32.6","53-6021","2011","53-602","less.hs",13.14,"hs-"
"186","Paving, surfacing, and tamping equipment operators","-","-","-",21,"–","47-2071","2011","47-207","less.hs",8.25,"hs-"
"187","Payroll and timekeeping clerks","710","-","704",168,"46.1","43-3051","2011","43-305","less.hs",2.35,"hs-"
"188","Personal care aides","412","454","407",1057,"43.9","39-9021","2011","39-902","less.hs",199.77,"hs-"
"189","Personal care and service workers, all other","-","-","-",105,"33.200000000000003","39-9099","2011","39-909","less.hs",11.34,"hs-"
"190","Pest control workers","575","572","-",75,"41.3","37-2021","2011","37-202","less.hs",6.9,"hs-"
