"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"739","Special education teachers, secondary school
 Show/hide Example Job Titles","25-2054",134,141.9,7.9,5.9,33.1,"59700.0","Bachelor's degree","None","Internship/residency","2014"
"740","Speech-language pathologists
 Show/hide Example Job Titles","29-1127",135.4,164.3,28.9,21.3,63.1,"74680.0","Master's degree","None","None","2014"
"741","Stationary engineers and boiler operators
 Show/hide Example Job Titles","51-8021",39.1,39.7,0.6,1.4,11.2,"59400.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"742","Statistical assistants
 Show/hide Example Job Titles","43-9111",16.6,14.8,-1.8,-10.9,6.7,"46850.0","Bachelor's degree","None","None","2014"
"743","Statisticians
 Show/hide Example Job Titles","15-2041",30,40.1,10.1,33.8,15.4,"80500.0","Master's degree","None","None","2014"
"744","Stock clerks and order fillers
 Show/hide Example Job Titles","43-5081",1878.1,1971.1,92.9,4.9,689,"23840.0","No formal educational credential","None","Short-term on-the-job training","2014"
"745","Stonemasons
 Show/hide Example Job Titles","47-2022",14.9,17.1,2.1,14.3,3.4,"39780.0","High school diploma or equivalent","None","Apprenticeship","2014"
"746","Structural iron and steel workers
 Show/hide Example Job Titles","47-2221",61.4,64.2,2.7,4.5,13,"51800.0","High school diploma or equivalent","None","Apprenticeship","2014"
"747","Structural metal fabricators and fitters
 Show/hide Example Job Titles","51-2041",79.2,80.8,1.6,2,14.6,"37730.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"748","Substance abuse and behavioral disorder counselors
 Show/hide Example Job Titles","21-1011",94.9,116.2,21.2,22.3,41.1,"41070.0","Bachelor's degree","None","None","2014"
"749","Subway and streetcar operators
 Show/hide Example Job Titles","53-4041",12,12.5,0.6,4.7,5.2,"64680.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"750","Surgeons
 Show/hide Example Job Titles","29-1067",46,55.1,9.1,19.8,21.5,">=208,000","Doctoral or professional degree","None","Internship/residency","2014"
"751","Surgical technologists
 Show/hide Example Job Titles","29-2055",99.8,114.5,14.7,14.8,24.6,"45160.0","Postsecondary nondegree award","None","None","2014"
"752","Survey researchers
 Show/hide Example Job Titles","19-3022",16.7,18.7,1.9,11.6,3.9,"54470.0","Master's degree","None","None","2014"
"753","Surveying and mapping technicians
 Show/hide Example Job Titles","17-3031",57.3,52.9,-4.3,-7.6,6.5,"42450.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"754","Surveyors
 Show/hide Example Job Titles","17-1022",44.3,43.4,-0.9,-2,13.7,"59390.0","Bachelor's degree","Less than 5 years","None","2014"
"755","Switchboard operators, including answering service
 Show/hide Example Job Titles","43-2011",112.4,75.4,-37,-32.9,13.3,"28030.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"756","Tailors, dressmakers, and custom sewers
 Show/hide Example Job Titles","51-6052",40.5,37,-3.4,-8.5,13.5,"28240.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"757","Tank car, truck, and ship loaders
 Show/hide Example Job Titles","53-7121",13,13.5,0.5,4,4.6,"35770.0","No formal educational credential","None","Short-term on-the-job training","2014"
"758","Tapers
 Show/hide Example Job Titles","47-2082",21,22.1,1.1,5.2,2.4,"48990.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"759","Tax examiners and collectors, and revenue agents
 Show/hide Example Job Titles","13-2081",67.9,63.7,-4.2,-6.2,27.8,"52060.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"760","Tax preparers
 Show/hide Example Job Titles","13-2082",90.4,91.8,1.4,1.6,24.1,"36550.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"761","Taxi drivers and chauffeurs
 Show/hide Example Job Titles","53-3041",233.7,264.4,30.6,13.1,74.8,"24300.0","No formal educational credential","None","Short-term on-the-job training","2014"
"762","Teacher assistants
 Show/hide Example Job Titles","25-9041",1234.1,1312.8,78.6,6.4,374.5,"25410.0","Some college, no degree","None","None","2014"
"763","Teachers and instructors, all other
 Show/hide Example Job Titles","25-3099",982.5,1049,66.5,6.8,251.7,"30110.0","Bachelor's degree","None","Internship/residency","2014"
"764","Team assemblers
 Show/hide Example Job Titles","51-2092",1144.2,1137.7,-6.5,-0.6,245.7,"30060.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"765","Technical writers
 Show/hide Example Job Titles","27-3042",52,57.3,5.3,10.2,17.2,"69850.0","Bachelor's degree","Less than 5 years","Short-term on-the-job training","2014"
"766","Telecommunications equipment installers and repairers, except line installers
 Show/hide Example Job Titles","49-2022",218.6,210.8,-7.8,-3.6,19.7,"53640.0","Postsecondary nondegree award","None","Moderate-term on-the-job training","2014"
"767","Telecommunications line installers and repairers
 Show/hide Example Job Titles","49-9052",118,118.7,0.7,0.6,22.2,"52590.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"768","Telemarketers
 Show/hide Example Job Titles","41-9041",237.9,230.8,-7.2,-3,43.9,"24300.0","No formal educational credential","None","Short-term on-the-job training","2014"
"769","Telephone operators
 Show/hide Example Job Titles","43-2021",13.1,7.5,-5.5,-42.4,3.2,"37000.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"770","Tellers
 Show/hide Example Job Titles","43-3071",520.5,480.5,-40,-7.7,203.6,"27260.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"771","Terrazzo workers and finishers
 Show/hide Example Job Titles","47-2053",3.4,3.6,0.2,7.3,0.7,"40930.0","High school diploma or equivalent","None","Apprenticeship","2014"
"772","Textile bleaching and dyeing machine operators and tenders
 Show/hide Example Job Titles","51-6061",11.7,8.9,-2.8,-23.9,1.2,"27270.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"773","Textile cutting machine setters, operators, and tenders
 Show/hide Example Job Titles","51-6062",14.3,10.6,-3.7,-25.7,2.3,"26090.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"774","Textile knitting and weaving machine setters, operators, and tenders
 Show/hide Example Job Titles","51-6063",27.9,20.6,-7.3,-26.2,4.6,"27470.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"775","Textile winding, twisting, and drawing out machine setters, operators, and tenders
 Show/hide Example Job Titles","51-6064",26,20.3,-5.6,-21.7,4.2,"27500.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"776","Textile, apparel, and furnishings workers, all other
 Show/hide Example Job Titles","51-6099",16.2,14.3,-1.9,-11.8,1.7,"25890.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"777","Therapists, all other
 Show/hide Example Job Titles","29-1129",24.7,30.5,5.8,23.6,8.3,"56700.0","Bachelor's degree","None","None","2014"
"778","Tile and marble setters
 Show/hide Example Job Titles","47-2044",55.1,58.7,3.5,6.4,11.3,"40460.0","No formal educational credential","None","Long-term on-the-job training","2014"
"779","Timing device assemblers and adjusters
 Show/hide Example Job Titles","51-2093",1.7,1.6,0,-1.9,0.4,"37040.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"780","Tire builders
 Show/hide Example Job Titles","51-9197",18.1,15.6,-2.5,-13.6,4.7,"41680.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"781","Tire repairers and changers
 Show/hide Example Job Titles","49-3093",105.5,109.9,4.3,4.1,40.3,"25040.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"782","Title examiners, abstractors, and searchers
 Show/hide Example Job Titles","23-2093",71.1,70.8,-0.2,-0.3,15.6,"45800.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"783","Tool and die makers
 Show/hide Example Job Titles","51-4111",77.8,67.7,-10.1,-13,3.8,"51060.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"784","Tool grinders, filers, and sharpeners
 Show/hide Example Job Titles","51-4194",11.5,9.5,-2,-17.5,2.8,"36650.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"785","Tour guides and escorts
 Show/hide Example Job Titles","39-7011",43.5,45.7,2.2,5.1,19.3,"24920.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"786","Traffic technicians
 Show/hide Example Job Titles","53-6041",6.8,7.2,0.4,6.3,3.9,"45150.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"787","Training and development managers
 Show/hide Example Job Titles","449919.0",32.9,35.2,2.3,7,11.9,"105830.0","Bachelor's degree","5 years or more","None","2014"
"788","Training and development specialists
 Show/hide Example Job Titles","13-1151",252.6,271.5,18.9,7.5,80.4,"59020.0","Bachelor's degree","Less than 5 years","None","2014"
"789","Transit and railroad police
 Show/hide Example Job Titles","33-3052",3.6,3.7,0.1,3.5,1.3,"66610.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"790","Transportation attendants, except flight attendants
 Show/hide Example Job Titles","53-6061",16.5,17.6,1,6.4,4.1,"26060.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"791","Transportation inspectors
 Show/hide Example Job Titles","53-6051",26.4,26.7,0.3,1.2,7.1,"72220.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"792","Transportation security screeners
 Show/hide Example Job Titles","33-9093",46.6,42.4,-4.2,-9,6.6,"39680.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"793","Transportation workers, all other
 Show/hide Example Job Titles","53-6099",40.2,41.6,1.3,3.3,21.7,"35660.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"794","Transportation, storage, and distribution managers
 Show/hide Example Job Titles","428005.0",111.6,114.1,2.5,2.2,27.1,"89190.0","High school diploma or equivalent","5 years or more","None","2014"
"795","Travel agents
 Show/hide Example Job Titles","41-3041",74.1,65.4,-8.7,-11.7,11.5,"36460.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"796","Travel guides
 Show/hide Example Job Titles","39-7012",3.9,3.9,0,0,1.5,"32100.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"797","Tree trimmers and pruners
 Show/hide Example Job Titles","37-3013",53.2,56.2,3,5.6,12.6,"35030.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"798","Umpires, referees, and other sports officials
 Show/hide Example Job Titles","27-2023",19.8,20.7,1,4.8,7.6,"25660.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"799","Upholsterers
 Show/hide Example Job Titles","51-6093",42.2,40.4,-1.8,-4.3,10.8,"33050.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"800","Urban and regional planners
 Show/hide Example Job Titles","19-3051",38,40.4,2.4,6.3,9.4,"70020.0","Master's degree","None","None","2014"
"801","Ushers, lobby attendants, and ticket takers
 Show/hide Example Job Titles","39-3031",113.9,120,6.1,5.3,77.9,"19920.0","No formal educational credential","None","Short-term on-the-job training","2014"
"802","Veterinarians
 Show/hide Example Job Titles","29-1131",78.3,85.2,6.9,8.9,19,"88770.0","Doctoral or professional degree","None","None","2014"
"803","Veterinary assistants and laboratory animal caretakers
 Show/hide Example Job Titles","31-9096",73.4,80,6.6,9,21.9,"25250.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"804","Veterinary technologists and technicians
 Show/hide Example Job Titles","29-2056",95.6,113.6,17.9,18.7,27.4,"32490.0","Associate's degree","None","None","2014"
"805","Vocational education teachers, postsecondary
 Show/hide Example Job Titles","25-1194",138.5,147.6,9.1,6.6,33.6,"50660.0","Bachelor's degree","Less than 5 years","None","2014"
"806","Waiters and waitresses
 Show/hide Example Job Titles","35-3031",2465.1,2534,68.9,2.8,1255,"19990.0","No formal educational credential","None","Short-term on-the-job training","2014"
"807","Watch repairers
 Show/hide Example Job Titles","49-9064",2.7,2,-0.7,-25.7,0.5,"36740.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"808","Water and wastewater treatment plant and system operators
 Show/hide Example Job Titles","51-8031",117,124,7,6,36.7,"45760.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"809","Web developers
 Show/hide Example Job Titles","15-1134",148.5,188,39.5,26.6,58.6,"66130.0","Associate's degree","None","None","2014"
"810","Weighers, measurers, checkers, and samplers, recordkeeping
 Show/hide Example Job Titles","43-5111",71.3,71.2,-0.1,-0.1,21.1,"28790.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"811","Welders, cutters, solderers, and brazers
 Show/hide Example Job Titles","51-4121",397.9,412.3,14.4,3.6,128.5,"39390.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"812","Welding, soldering, and brazing machine setters, operators, and tenders
 Show/hide Example Job Titles","51-4122",59.5,48.8,-10.7,-18,17.1,"36980.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"813","Wellhead pumpers
 Show/hide Example Job Titles","53-7073",13.9,15.8,1.8,13.1,8.9,"49610.0","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2014"
"814","Wholesale and retail buyers, except farm products
 Show/hide Example Job Titles","13-1022",129.5,137.5,8.1,6.2,49.1,"53340.0","Bachelor's degree","None","Long-term on-the-job training","2014"
"815","Wind turbine service technicians
 Show/hide Example Job Titles","49-9081",4.4,9.2,4.8,108,5.5,"52260.0","Some college, no degree","None","Long-term on-the-job training","2014"
"816","Woodworkers, all other
 Show/hide Example Job Titles","51-7099",12.9,12.9,0,-0.3,3,"28500.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"817","Woodworking machine setters, operators, and tenders, except sawing
 Show/hide Example Job Titles","51-7042",72.1,70.4,-1.7,-2.4,12.5,"28510.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"818","Word processors and typists
 Show/hide Example Job Titles","43-9022",90.7,76.5,-14.2,-15.7,3.1,"38740.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"819","Writers and authors
 Show/hide Example Job Titles","27-3043",136.5,139.7,3.1,2.3,26.1,"61240.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"820","Zoologists and wildlife biologists
 Show/hide Example Job Titles","19-1023",21.3,22.2,0.8,4,6.6,"60520.0","Bachelor's degree","None","None","2014"
"821","Total, all occupations","00-0000",145355.8,160983.7,15628,10.8,50557.3,"34750.0","-","-","-","2012"
"822","Accountants and auditors
 Show/hide Example Job Titles","13-2011",1275.4,1442.2,166.7,13.1,544.2,"63550.0","Bachelor's degree","None","None","2012"
"823","Actors
 Show/hide Example Job Titles","27-2011",79.8,83,3.3,4.1,28.9,"N/A","Some college, no degree","None","Long-term on-the-job training","2012"
"824","Actuaries
 Show/hide Example Job Titles","15-2011",24.3,30.6,6.3,26.1,13.2,"93680.0","Bachelor's degree","None","Long-term on-the-job training","2012"
"825","Adhesive bonding machine operators and tenders
 Show/hide Example Job Titles","51-9191",16.8,16.9,0.1,0.6,4.1,"29830.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"826","Administrative law judges, adjudicators, and hearing officers
 Show/hide Example Job Titles","23-1021",14.9,14.7,-0.3,-1.7,2.4,"87240.0","Doctoral or professional degree","Less than 5 years","Short-term on-the-job training","2012"
"827","Administrative services managers
 Show/hide Example Job Titles","406090.0",280.8,315,34.2,12.2,79.9,"81080.0","Bachelor's degree","Less than 5 years","None","2012"
"828","Adult basic and secondary education and literacy teachers and instructors 
 Show/hide Example Job Titles","25-3011",77.4,84.2,6.7,8.7,19.9,"48590.0","Bachelor's degree","None","Internship/residency","2012"
"829","Advertising and promotions managers
 Show/hide Example Job Titles","40848.0",35.5,38,2.4,6.9,13.4,"88590.0","Bachelor's degree","Less than 5 years","None","2012"
"830","Advertising sales agents
 Show/hide Example Job Titles","41-3011",154.6,153.6,-1,-0.7,47.5,"46290.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"831","Aerospace engineering and operations technicians
 Show/hide Example Job Titles","17-3021",9.9,9.9,0,-0.4,2.1,"61530.0","Associate's degree","None","None","2012"
"832","Aerospace engineers
 Show/hide Example Job Titles","17-2011",83,89.1,6.1,7.3,25.4,"103720.0","Bachelor's degree","None","None","2012"
"833","Agents and business managers of artists, performers, and athletes
 Show/hide Example Job Titles","13-1011",18.3,20.1,1.8,9.7,5.8,"63370.0","Bachelor's degree","Less than 5 years","None","2012"
"834","Agricultural and food science technicians
 Show/hide Example Job Titles","19-4011",25.9,26.7,0.8,2.9,10.1,"34070.0","Associate's degree","None","Moderate-term on-the-job training","2012"
"835","Agricultural engineers
 Show/hide Example Job Titles","17-2021",2.6,2.7,0.1,4.8,0.8,"74000.0","Bachelor's degree","None","None","2012"
"836","Agricultural equipment operators
 Show/hide Example Job Titles","45-2091",59,61.2,2.3,3.9,20.2,"25860.0","Less than high school","None","Short-term on-the-job training","2012"
"837","Agricultural inspectors
 Show/hide Example Job Titles","45-2011",17,16.8,-0.2,-1,5,"42160.0","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"838","Agricultural sciences teachers, postsecondary
 Show/hide Example Job Titles","25-1041",12.8,13.9,1,8,3,"80490.0","Doctoral or professional degree","None","None","2012"
"839","Agricultural workers, all other
 Show/hide Example Job Titles","45-2099",14.4,14.9,0.5,3.4,4.9,"25140.0","Less than high school","None","Short-term on-the-job training","2012"
"840","Air traffic controllers
 Show/hide Example Job Titles","53-2021",25,25.4,0.4,1.4,11.4,"122530.0","Associate's degree","None","Long-term on-the-job training","2012"
"841","Aircraft cargo handling supervisors
 Show/hide Example Job Titles","53-1011",6.8,6.9,0,0.7,1.9,"47930.0","High school diploma or equivalent","Less than 5 years","None","2012"
"842","Aircraft mechanics and service technicians
 Show/hide Example Job Titles","49-3011",121.7,124.7,3,2.4,35.6,"55210.0","Postsecondary non-degree award","None","None","2012"
"843","Aircraft structure, surfaces, rigging, and systems assemblers
 Show/hide Example Job Titles","51-2011",41.5,44,2.4,5.8,9.1,"45950.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"844","Airfield operations specialists
 Show/hide Example Job Titles","53-2022",7.1,7.5,0.4,5.1,3.5,"48080.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"845","Airline pilots, copilots, and flight engineers
 Show/hide Example Job Titles","53-2011",66.4,62.1,-4.4,-6.6,19.2,"114200.0","Bachelor's degree","Less than 5 years","Moderate-term on-the-job training","2012"
"846","Ambulance drivers and attendants, except emergency medical technicians
 Show/hide Example Job Titles","53-3011",18.9,24.8,5.9,31.1,9,"23440.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"847","Amusement and recreation attendants
 Show/hide Example Job Titles","39-3091",267.1,297.5,30.3,11.3,164.2,"18710.0","Less than high school","None","Short-term on-the-job training","2012"
"848","Anesthesiologists
 Show/hide Example Job Titles","29-1061",33.9,42.1,8.3,24.4,16.7,">=187,200","Doctoral or professional degree","None","Internship/residency","2012"
"849","Animal breeders
 Show/hide Example Job Titles","45-2021",1.3,1,-0.3,-23.4,0.4,"34250.0","High school diploma or equivalent","Less than 5 years","Short-term on-the-job training","2012"
"850","Animal control workers
 Show/hide Example Job Titles","33-9011",14.6,15.7,1.1,7.7,4.5,"31680.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"851","Animal scientists
 Show/hide Example Job Titles","19-1011",2.7,3,0.2,8.8,1.2,"61680.0","Doctoral or professional degree","None","None","2012"
"852","Animal trainers
 Show/hide Example Job Titles","39-2011",41.6,47.7,6.1,14.8,24.5,"25270.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"853","Anthropologists and archeologists
 Show/hide Example Job Titles","19-3091",7.2,8.6,1.4,19.4,2.6,"57420.0","Master's degree","None","None","2012"
"854","Anthropology and archeology teachers, postsecondary
 Show/hide Example Job Titles","25-1061",7,7.9,0.9,12.5,1.9,"76020.0","Doctoral or professional degree","None","None","2012"
"855","Appraisers and assessors of real estate
 Show/hide Example Job Titles","13-2021",83.7,88.4,4.7,5.6,12.1,"49540.0","Bachelor's degree","None","Long-term on-the-job training","2012"
"856","Arbitrators, mediators, and conciliators
 Show/hide Example Job Titles","23-1022",8.4,9.3,0.9,10.4,2.2,"61280.0","Bachelor's degree","Less than 5 years","Moderate-term on-the-job training","2012"
"857","Architects, except landscape and naval
 Show/hide Example Job Titles","17-1011",107.4,126,18.6,17.3,44.1,"73090.0","Bachelor's degree","None","Internship/residency","2012"
"858","Architectural and civil drafters
 Show/hide Example Job Titles","17-3011",87.9,88.5,0.7,0.8,12.4,"47870.0","Associate's degree","None","None","2012"
"859","Architectural and engineering managers
 Show/hide Example Job Titles","2608503.0",193.8,206.9,13.1,6.7,60.6,"124870.0","Bachelor's degree","5 years or more","None","2012"
"860","Architecture teachers, postsecondary
 Show/hide Example Job Titles","25-1031",9.1,10.4,1.3,14.3,2.7,"71610.0","Doctoral or professional degree","None","None","2012"
"861","Archivists
 Show/hide Example Job Titles","25-4011",6.5,7.6,1.1,16.6,2.5,"47340.0","Master's degree","None","None","2012"
"862","Area, ethnic, and cultural studies teachers, postsecondary
 Show/hide Example Job Titles","25-1062",12.4,14.3,1.9,15.8,3.8,"67360.0","Doctoral or professional degree","None","None","2012"
"863","Art directors
 Show/hide Example Job Titles","27-1011",74.8,77,2.2,3,20,"80880.0","Bachelor's degree","5 years or more","None","2012"
"864","Art, drama, and music teachers, postsecondary
 Show/hide Example Job Titles","25-1121",114.3,132.6,18.3,16,35.5,"62160.0","Master's degree","None","None","2012"
"865","Artists and related workers, all other
 Show/hide Example Job Titles","27-1019",11.4,11.2,-0.2,-1.5,2.7,"59840.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"866","Assemblers and fabricators, all other
 Show/hide Example Job Titles","51-2099",277.7,303.7,26,9.4,69.9,"25920.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"867","Astronomers
 Show/hide Example Job Titles","19-2011",2.7,2.9,0.3,10,0.9,"96460.0","Doctoral or professional degree","None","None","2012"
"868","Athletes and sports competitors
 Show/hide Example Job Titles","27-2021",14.9,15.9,1,6.7,5.4,"40060.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"869","Athletic trainers
 Show/hide Example Job Titles","29-9091",22.9,27.8,4.9,21.2,11.1,"42090.0","Bachelor's degree","None","None","2012"
"870","Atmospheric and space scientists
 Show/hide Example Job Titles","19-2021",11.1,12.2,1.1,10,3.8,"89260.0","Bachelor's degree","None","None","2012"
"871","Atmospheric, earth, marine, and space sciences teachers, postsecondary
 Show/hide Example Job Titles","25-1051",13.2,14.7,1.5,11.4,3.5,"82180.0","Doctoral or professional degree","None","None","2012"
"872","Audio and video equipment technicians
 Show/hide Example Job Titles","27-4011",67.7,76.9,9.3,13.7,21.5,"41850.0","Postsecondary non-degree award","None","Short-term on-the-job training","2012"
"873","Audio-visual and multimedia collections specialists
 Show/hide Example Job Titles","25-9011",9.7,9.6,-0.1,-0.8,0.8,"43350.0","Bachelor's degree","Less than 5 years","None","2012"
"874","Audiologists
 Show/hide Example Job Titles","29-1181",13,17.3,4.3,33.6,7,"69720.0","Doctoral or professional degree","None","None","2012"
"875","Automotive and watercraft service attendants
 Show/hide Example Job Titles","53-6031",109.5,129.3,19.8,18.1,51.2,"20140.0","Less than high school","None","Short-term on-the-job training","2012"
"876","Automotive body and related repairers
 Show/hide Example Job Titles","49-3021",154.2,174.7,20.4,13.3,50.1,"38380.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"877","Automotive glass installers and repairers
 Show/hide Example Job Titles","49-3022",18,20.5,2.4,13.6,6.9,"32650.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"878","Automotive service technicians and mechanics
 Show/hide Example Job Titles","49-3023",701.1,761.5,60.4,8.6,237.6,"36610.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"879","Avionics technicians
 Show/hide Example Job Titles","49-2091",17.1,17.6,0.5,2.9,4,"55350.0","Associate's degree","None","None","2012"
"880","Baggage porters and bellhops
 Show/hide Example Job Titles","39-6011",41,46,5,12.1,15.1,"20050.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"881","Bailiffs
 Show/hide Example Job Titles","33-3011",16.8,17.7,0.9,5.3,5.4,"36840.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"882","Bakers
 Show/hide Example Job Titles","51-3011",167.6,177,9.4,5.6,50.1,"23140.0","Less than high school","None","Long-term on-the-job training","2012"
"883","Barbers
 Show/hide Example Job Titles","39-5011",52.1,57.9,5.8,11.1,19.3,"25090.0","Postsecondary non-degree award","None","None","2012"
"884","Bartenders
 Show/hide Example Job Titles","35-3011",551.1,616.7,65.6,11.9,269.4,"18900.0","Less than high school","None","Short-term on-the-job training","2012"
"885","Bicycle repairers
 Show/hide Example Job Titles","49-3091",10.6,13.3,2.7,25.1,6.4,"24150.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"886","Bill and account collectors
 Show/hide Example Job Titles","43-3011",397.4,455.6,58.2,14.7,170,"32480.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"887","Billing and posting clerks
 Show/hide Example Job Titles","43-3021",513.8,607,93.2,18.1,187.8,"33450.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"888","Biochemists and biophysicists
 Show/hide Example Job Titles","19-1021",29.2,34.6,5.4,18.6,13.7,"81480.0","Doctoral or professional degree","None","None","2012"
"889","Biological science teachers, postsecondary
 Show/hide Example Job Titles","25-1042",61.4,73.4,12,19.5,21.2,"74180.0","Doctoral or professional degree","None","None","2012"
"890","Biological scientists, all other
 Show/hide Example Job Titles","19-1029",34.3,34.1,-0.2,-0.6,9.8,"72700.0","Bachelor's degree","None","None","2012"
"891","Biological technicians
 Show/hide Example Job Titles","19-4021",80.2,88.3,8,10,32.1,"39750.0","Bachelor's degree","None","None","2012"
"892","Biomedical engineers
 Show/hide Example Job Titles","17-2031",19.4,24.6,5.2,26.6,10.1,"86960.0","Bachelor's degree","None","None","2012"
"893","Boilermakers
 Show/hide Example Job Titles","47-2011",18,18.7,0.7,3.7,8.8,"56560.0","High school diploma or equivalent","None","Apprenticeship","2012"
"894","Bookkeeping, accounting, and auditing clerks
 Show/hide Example Job Titles","43-3031",1799.8,2004.5,204.6,11.4,370,"35170.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"895","Brickmasons and blockmasons
 Show/hide Example Job Titles","47-2021",71,96.2,25.2,35.5,32.8,"46440.0","High school diploma or equivalent","None","Apprenticeship","2012"
"896","Bridge and lock tenders
 Show/hide Example Job Titles","53-6011",3.6,3.6,-0.1,-2,1.4,"45940.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"897","Broadcast news analysts
 Show/hide Example Job Titles","27-3021",5.9,5.8,-0.1,-2.3,2,"55380.0","Bachelor's degree","None","None","2012"
"898","Broadcast technicians
 Show/hide Example Job Titles","27-4012",36.7,37.9,1.2,3.2,7.8,"37880.0","Associate's degree","None","Short-term on-the-job training","2012"
"899","Brokerage clerks
 Show/hide Example Job Titles","43-4011",61.9,64.3,2.4,3.8,18.4,"42440.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"900","Budget analysts
 Show/hide Example Job Titles","13-2031",61.7,65.5,3.8,6.1,28.5,"69280.0","Bachelor's degree","None","None","2012"
"901","Building cleaning workers, all other
 Show/hide Example Job Titles","37-2019",14.4,16.6,2.2,15,4.9,"27570.0","Less than high school","None","Short-term on-the-job training","2012"
"902","Bus and truck mechanics and diesel engine specialists
 Show/hide Example Job Titles","49-3031",250.8,272.5,21.6,8.6,75.1,"42320.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"903","Bus drivers, school or special client 
 Show/hide Example Job Titles","53-3022",483.6,524.8,41.1,8.5,129.9,"28080.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"904","Bus drivers, transit and intercity 
 Show/hide Example Job Titles","53-3021",170.6,187.4,16.8,9.8,48.1,"36600.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
