"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"571","Painters, transportation equipment
 Show/hide Example Job Titles","51-9122",54.3,57.5,3.2,5.9,13.4,"42150.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"572","Painting, coating, and decorating workers
 Show/hide Example Job Titles","51-9123",17.5,17.2,-0.3,-2,3.3,"30030.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"573","Paper goods machine setters, operators, and tenders
 Show/hide Example Job Titles","51-9196",91.9,82,-9.9,-10.7,13,"36990.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"574","Paperhangers
 Show/hide Example Job Titles","47-2142",6.4,6.6,0.2,2.4,1.2,"33770.0","No formal educational credential","None","Long-term on-the-job training","2014"
"575","Paralegals and legal assistants
 Show/hide Example Job Titles","23-2011",279.5,300.8,21.2,7.6,82.7,"49500.0","Associate's degree","None","None","2014"
"576","Parking enforcement workers
 Show/hide Example Job Titles","33-3041",9.4,7.4,-2,-20.8,2.8,"37950.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"577","Parking lot attendants
 Show/hide Example Job Titles","53-6021",135.6,141.3,5.8,4.2,81.3,"21730.0","No formal educational credential","None","Short-term on-the-job training","2014"
"578","Parts salespersons
 Show/hide Example Job Titles","41-2022",234.7,251.5,16.8,7.2,68.9,"29780.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"579","Patternmakers, metal and plastic
 Show/hide Example Job Titles","51-4062",3.8,2.9,-0.9,-23.4,0.7,"44210.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"580","Patternmakers, wood
 Show/hide Example Job Titles","51-7032",1.8,1.8,0,-0.3,0.4,"46510.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"581","Paving, surfacing, and tamping equipment operators
 Show/hide Example Job Titles","47-2071",57.7,63,5.3,9.2,19.1,"38970.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"582","Payroll and timekeeping clerks
 Show/hide Example Job Titles","43-3051",172.8,166.9,-5.9,-3.4,46.3,"42390.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"583","Pediatricians, general
 Show/hide Example Job Titles","29-1065",34.8,38.4,3.6,10.3,12.9,"168990.0","Doctoral or professional degree","None","Internship/residency","2014"
"584","Personal care aides
 Show/hide Example Job Titles","39-9021",1768.4,2226.5,458.1,25.9,601.1,"21920.0","No formal educational credential","None","Short-term on-the-job training","2014"
"585","Personal care and service workers, all other
 Show/hide Example Job Titles","39-9099",93.2,99.1,5.9,6.3,26.9,"25420.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"586","Personal financial advisors
 Show/hide Example Job Titles","13-2052",249.4,323.2,73.9,29.6,136.4,"90530.0","Bachelor's degree","None","Long-term on-the-job training","2014"
"587","Pest control workers
 Show/hide Example Job Titles","37-2021",74.1,73.2,-0.9,-1.2,18.6,"33040.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"588","Pesticide handlers, sprayers, and applicators, vegetation
 Show/hide Example Job Titles","37-3012",36.4,37.8,1.4,3.8,7.9,"33740.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"589","Petroleum engineers
 Show/hide Example Job Titles","17-2171",35.1,38.5,3.4,9.8,13,"128230.0","Bachelor's degree","None","None","2014"
"590","Petroleum pump system operators, refinery operators, and gaugers
 Show/hide Example Job Titles","51-8093",42.4,43.4,0.9,2.2,17,"67400.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"591","Pharmacists
 Show/hide Example Job Titles","29-1051",297.1,306.2,9.1,3.1,78.4,"122230.0","Doctoral or professional degree","None","None","2014"
"592","Pharmacy aides
 Show/hide Example Job Titles","31-9095",41.5,41.6,0.1,0.3,8.8,"25240.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"593","Pharmacy technicians
 Show/hide Example Job Titles","29-2052",372.5,407.2,34.7,9.3,71.6,"30920.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"594","Philosophy and religion teachers, postsecondary
 Show/hide Example Job Titles","25-1126",30.7,34.2,3.6,11.6,9,"68360.0","Doctoral or professional degree","None","None","2014"
"595","Phlebotomists
 Show/hide Example Job Titles","31-9097",112.7,140.8,28.1,24.9,51.6,"32710.0","Postsecondary nondegree award","None","None","2014"
"596","Photographers
 Show/hide Example Job Titles","27-4021",124.9,128.8,3.9,3.1,34.5,"34070.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"597","Photographic process workers and processing machine operators
 Show/hide Example Job Titles","51-9151",28.8,19.4,-9.5,-32.9,5.6,"26470.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"598","Physical scientists, all other
 Show/hide Example Job Titles","19-2099",28.5,28.8,0.3,1,3,"96070.0","Bachelor's degree","None","None","2014"
"599","Physical therapist aides
 Show/hide Example Job Titles","31-2022",50,69.5,19.5,39,34,"25680.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"600","Physical therapist assistants
 Show/hide Example Job Titles","31-2021",78.7,110.7,31.9,40.6,54.7,"56610.0","Associate's degree","None","None","2014"
