"","employment","Total","median","code","year","code2","degrees","number","edu"
"2324","Bill and account collectors",191.5,"39.4","43-3011","2012","43-301","some.college..no.degree",73.15,"hs+"
"2325","Billing and posting clerks",486,"44","43-3021","2012","43-302","some.college..no.degree",174.96,"hs+"
"2326","Biological technicians",20,"–","19-4021","2012","19-402","some.college..no.degree",4.2,"hs+"
"2327","Boilermakers",20.5,"–","47-2011","2012","47-201","some.college..no.degree",6.33,"hs+"
"2328","Bookkeeping, accounting, and auditing clerks",1254.5,"50","43-3031","2012","43-303","some.college..no.degree",482.98,"hs+"
"2329","Brokerage clerks",3.5,"–","43-4011","2012","43-401","some.college..no.degree",0.7,"hs+"
"2330","Budget analysts",58.5,"43.8","13-2031","2012","13-203","some.college..no.degree",8.89,"hs+"
"2331","Bus and truck mechanics and diesel engine specialists",316,"41.7","49-3031","2012","49-303","some.college..no.degree",77.74,"hs+"
"2332","Business operations specialists, all other",223,"43.7","13-1199","2012","13-119","some.college..no.degree",40.36,"hs+"
"2333","Buyers and purchasing agents, farm products",13.5,"–","13-1021","2012","13-102","some.college..no.degree",2.73,"hs+"
"2334","Cabinetmakers and bench carpenters",46,"–","51-7011","2012","51-701","some.college..no.degree",9.06,"hs+"
"2335","Cargo and freight agents",26.5,"–","43-5011","2012","43-501","some.college..no.degree",8.61,"hs+"
"2336","Carpenters",1193.5,"42.2","47-2031","2012","47-203","some.college..no.degree",247.05,"hs+"
"2337","Chefs and head cooks",414,"38.5","35-1011","2012","35-101","some.college..no.degree",93.15,"hs+"
"2338","Chemical engineers",66,"44.7","17-2041","2012","17-204","some.college..no.degree",3.3,"hs+"
"2339","Chemical technicians",65.5,"45.3","19-4031","2012","19-403","some.college..no.degree",15.52,"hs+"
"2340","Childcare workers",1272,"37.700000000000003","39-9011","2012","39-901","some.college..no.degree",338.35,"hs+"
"2341","Chiropractors",58,"44.4","29-1011","2012","29-101","some.college..no.degree",1.04,"hs+"
"2342","Civil engineers",359,"43.6","17-2051","2012","17-205","some.college..no.degree",22.26,"hs+"
"2343","Cleaners of vehicles and equipment",331.5,"31.1","53-7061","2012","53-706","some.college..no.degree",49.39,"hs+"
"2344","Clergy",409,"51.8","21-2011","2012","21-201","some.college..no.degree",46.63,"hs+"
"2345","Coin, vending, and amusement machine servicers and repairers",36.5,"–","49-9091","2012","49-909","some.college..no.degree",10.55,"hs+"
"2346","Combined food preparation and serving workers, including fast food",360,"27.6","35-3021","2012","35-302","some.college..no.degree",82.8,"hs+"
"2347","Communications equipment operators, all other",6,"–","43-2099","2012","43-209","some.college..no.degree",2.23,"hs+"
"2348","Compensation, benefits, and job analysis specialists",77,"43.6","13-1141","2012","13-114","some.college..no.degree",17.32,"hs+"
"2349","Compliance officers",197,"48","13-1041","2012","13-104","some.college..no.degree",36.25,"hs+"
"2350","Computer and information research scientists",23.5,"–","15-1111","2012","15-111","some.college..no.degree",1.1,"hs+"
"2351","Computer hardware engineers",90.5,"41.7","17-2061","2012","17-206","some.college..no.degree",9.32,"hs+"
"2352","Computer occupations, all other",375.5,"41.5","15-1199","2012","15-119","some.college..no.degree",84.11,"hs+"
"2353","Computer operators",98.5,"47.2","43-9011","2012","43-901","some.college..no.degree",28.47,"hs+"
"2354","Computer programmers",484.5,"42.8","15-1131","2012","15-113","some.college..no.degree",63.47,"hs+"
"2355","Computer systems analysts",516.5,"41.6","15-1121","2012","15-112","some.college..no.degree",74.89,"hs+"
"2356","Computer, automated teller, and office machine repairers",290.5,"42","49-2011","2012","49-201","some.college..no.degree",94.99,"hs+"
"2357","Construction and building inspectors",109.5,"53.3","47-4011","2012","47-401","some.college..no.degree",35.26,"hs+"
"2358","Construction laborers",1461.5,"38.799999999999997","47-2061","2012","47-206","some.college..no.degree",251.38,"hs+"
"2359","Cost estimators",118.5,"46.7","13-1051","2012","13-105","some.college..no.degree",34.72,"hs+"
"2360","Counter and rental clerks",120,"44.1","41-2021","2012","41-202","some.college..no.degree",30.96,"hs+"
"2361","Couriers and messengers",205.5,"46.1","43-5021","2012","43-502","some.college..no.degree",66.17,"hs+"
"2362","Court, municipal, and license clerks",83,"48.4","43-4031","2012","43-403","some.college..no.degree",28.22,"hs+"
"2363","Crane and tower operators",67,"45.1","53-7021","2012","53-702","some.college..no.degree",14,"hs+"
"2364","Credit analysts",30,"–","13-2041","2012","13-204","some.college..no.degree",6.48,"hs+"
"2365","Credit authorizers, checkers, and clerks",41.5,"–","43-4041","2012","43-404","some.college..no.degree",13.53,"hs+"
"2366","Crossing guards",61,"50.2","33-9091","2012","33-909","some.college..no.degree",14.58,"hs+"
"2367","Customer service representatives",2012.5,"36.700000000000003","43-4051","2012","43-405","some.college..no.degree",654.06,"hs+"
"2368","Data entry keyers",322,"41.9","43-9021","2012","43-902","some.college..no.degree",107.87,"hs+"
"2369","Database administrators",99.5,"42","15-1141","2012","15-114","some.college..no.degree",13.73,"hs+"
"2370","Dental assistants",276.5,"36.799999999999997","31-9091","2012","31-909","some.college..no.degree",111.98,"hs+"
"2371","Dental hygienists",173.5,"43.9","29-2021","2012","29-202","some.college..no.degree",13.88,"hs+"
"2372","Detectives and criminal investigators",159,"43.5","33-3021","2012","33-302","some.college..no.degree",36.41,"hs+"
"2373","Dietitians and nutritionists",113,"45.5","29-1031","2012","29-103","some.college..no.degree",8.14,"hs+"
"2374","Directors, religious activities and education",59,"45","21-2021","2012","21-202","some.college..no.degree",8.91,"hs+"
"2375","Dishwashers",286,"29","35-9021","2012","35-902","some.college..no.degree",31.75,"hs+"
"2376","Door-to-door sales workers, news and street vendors, and related workers",194.5,"46.7","41-9091","2012","41-909","some.college..no.degree",48.62,"hs+"
"2377","Earth drillers, except oil and gas",34,"–","47-5021","2012","47-502","some.college..no.degree",6.77,"hs+"
"2378","Economists",30,"–","19-3011","2012","19-301","some.college..no.degree",0.18,"hs+"
"2379","Editors",154.5,"40","27-3041","2012","27-304","some.college..no.degree",14.06,"hs+"
"2380","Electrical power-line installers and repairers",113.5,"38.9","49-9051","2012","49-905","some.college..no.degree",42.34,"hs+"
"2381","Electricians",711,"42.8","47-2111","2012","47-211","some.college..no.degree",234.63,"hs+"
"2382","Elevator installers and repairers",26.5,"–","47-4021","2012","47-402","some.college..no.degree",8.75,"hs+"
"2383","Eligibility interviewers, government programs",83.5,"45.1","43-4061","2012","43-406","some.college..no.degree",21.38,"hs+"
"2384","Emergency medical technicians and paramedics",174,"34.6","29-2041","2012","29-204","some.college..no.degree",81.61,"hs+"
"2385","Engine and other machine assemblers",26,"–","51-2031","2012","51-203","some.college..no.degree",5.23,"hs+"
"2386","Entertainers and performers, sports and related workers, all other",38,"–","27-2099","2012","27-209","some.college..no.degree",10.94,"hs+"
"2387","Environmental engineers",38,"–","17-2081","2012","17-208","some.college..no.degree",1.41,"hs+"
"2388","Explosives workers, ordnance handling experts, and blasters",8,"–","47-5031","2012","47-503","some.college..no.degree",2.51,"hs+"
"2389","Extruding and drawing machine setters, operators, and tenders, metal and plastic",11.5,"–","51-4021","2012","51-402","some.college..no.degree",2.59,"hs+"
"2390","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",35.5,"–","51-9041","2012","51-904","some.college..no.degree",7.95,"hs+"
"2391","Fence erectors",34,"–","47-4031","2012","47-403","some.college..no.degree",5.75,"hs+"
"2392","File clerks",274.5,"40.799999999999997","43-4071","2012","43-407","some.college..no.degree",88.11,"hs+"
"2393","Financial analysts",97,"38.700000000000003","13-2051","2012","13-205","some.college..no.degree",7.76,"hs+"
"2394","Financial clerks, all other",53.5,"42.7","43-3099","2012","43-309","some.college..no.degree",14.71,"hs+"
"2395","Financial examiners",14,"–","13-2061","2012","13-206","some.college..no.degree",1.82,"hs+"
"2396","Financial specialists, all other",88,"40.5","13-2099","2012","13-209","some.college..no.degree",14.61,"hs+"
"2397","Firefighters",300.5,"40.1","33-2011","2012","33-201","some.college..no.degree",130.72,"hs+"
"2398","First-line supervisors of construction trades and extraction workers",632.5,"46.2","47-1011","2012","47-101","some.college..no.degree",163.19,"hs+"
"2399","First-line supervisors of correctional officers",41,"–","33-1011","2012","33-101","some.college..no.degree",14.1,"hs+"
"2400","First-line supervisors of farming, fishing, and forestry workers",49,"–","45-1011","2012","45-101","some.college..no.degree",8.87,"hs+"
"2401","First-line supervisors of fire fighting and prevention workers",61,"45.6","33-1021","2012","33-102","some.college..no.degree",22.51,"hs+"
"2402","First-line supervisors of housekeeping and janitorial workers",299.5,"48.6","37-1011","2012","37-101","some.college..no.degree",80.57,"hs+"
"2403","First-line supervisors of mechanics, installers, and repairers",279,"48.1","49-1011","2012","49-101","some.college..no.degree",86.21,"hs+"
"2404","First-line supervisors of office and administrative support workers",1389.5,"45.7","43-1011","2012","43-101","some.college..no.degree",407.12,"hs+"
"2405","First-line supervisors of personal service workers",237,"44.7","39-1021","2012","39-102","some.college..no.degree",66.12,"hs+"
"2406","First-line supervisors of production and operating workers",769.5,"47.2","51-1011","2012","51-101","some.college..no.degree",203.15,"hs+"
"2407","First-line supervisors of protective service workers, all other",96.5,"47","33-1099","2012","33-109","some.college..no.degree",30.78,"hs+"
"2408","First-line supervisors of retail sales workers",3230,"43","41-1011","2012","41-101","some.college..no.degree",930.24,"hs+"
"2409","Flight attendants",88.5,"49.4","53-2031","2012","53-203","some.college..no.degree",30,"hs+"
"2410","Food and tobacco roasting, baking, and drying machine operators and tenders",10.5,"–","51-3091","2012","51-309","some.college..no.degree",2.52,"hs+"
"2411","Food preparation workers",876.5,"27.8","35-2021","2012","35-202","some.college..no.degree",170.04,"hs+"
"2412","Food servers, nonrestaurant",223,"33.200000000000003","35-3041","2012","35-304","some.college..no.degree",49.95,"hs+"
"2413","Forest and conservation workers",13.5,"–","45-4011","2012","45-401","some.college..no.degree",3.01,"hs+"
"2414","Fundraisers",83.5,"42.9","13-1131","2012","13-113","some.college..no.degree",7.18,"hs+"
"2415","Furnace, kiln, oven, drier, and kettle operators and tenders",15.5,"–","51-9051","2012","51-905","some.college..no.degree",3.52,"hs+"
"2416","Furniture finishers",7,"–","51-7021","2012","51-702","some.college..no.degree",1.24,"hs+"
"2417","Gaming cage workers",11,"–","43-3041","2012","43-304","some.college..no.degree",3.75,"hs+"
"2418","General and operations managers",1069.5,"45.6","11-1021","2012","11-102","some.college..no.degree",252.4,"hs+"
"2419","Glaziers",41.5,"–","47-2121","2012","47-212","some.college..no.degree",8.22,"hs+"
"2420","Graders and sorters, agricultural products",106,"42.4","45-2041","2012","45-204","some.college..no.degree",9.96,"hs+"
"2421","Hazardous materials removal workers",35,"–","47-4041","2012","47-404","some.college..no.degree",7.81,"hs+"
"2422","Health diagnosing and treating practitioners, all other",24,"–","29-1199","2012","29-119","some.college..no.degree",1.82,"hs+"
"2423","Heating, air conditioning, and refrigeration mechanics and installers",362,"41.1","49-9021","2012","49-902","some.college..no.degree",111.86,"hs+"
"2424","Highway maintenance workers",102.5,"48.1","47-4051","2012","47-405","some.college..no.degree",22.86,"hs+"
"2425","Home appliance repairers",49.5,"48.2","49-9031","2012","49-903","some.college..no.degree",14.4,"hs+"
"2426","Hosts and hostesses, restaurant, lounge, and coffee shop",279.5,"21.8","35-9031","2012","35-903","some.college..no.degree",74.07,"hs+"
"2427","Hotel, motel, and resort desk clerks",111,"30.1","43-4081","2012","43-408","some.college..no.degree",39.18,"hs+"
"2428","Human resources assistants, except payroll and timekeeping",132.5,"42.6","43-4161","2012","43-416","some.college..no.degree",44.12,"hs+"
"2429","Industrial truck and tractor operators",547,"40","53-7051","2012","53-705","some.college..no.degree",107.21,"hs+"
"2430","Information and record clerks, all other",103.5,"44.2","43-4199","2012","43-419","some.college..no.degree",31.88,"hs+"
"2431","Inspectors, testers, sorters, samplers, and weighers",687.5,"43.8","51-9061","2012","51-906","some.college..no.degree",187.69,"hs+"
"2432","Insurance claims and policy processing clerks",258.5,"41.5","43-9041","2012","43-904","some.college..no.degree",89.96,"hs+"
"2433","Insurance sales agents",571,"45.6","41-3021","2012","41-302","some.college..no.degree",150.17,"hs+"
"2434","Interviewers, except eligibility and loan",140.5,"42.2","43-4111","2012","43-411","some.college..no.degree",47.35,"hs+"
"2435","Jewelers and precious stone and metal workers",50,"48.6","51-9071","2012","51-907","some.college..no.degree",13.7,"hs+"
"2436","Laundry and dry-cleaning workers",176,"43.2","51-6011","2012","51-601","some.college..no.degree",24.82,"hs+"
"2437","Librarians",187.5,"50.5","25-4021","2012","25-402","some.college..no.degree",18.56,"hs+"
"2438","Library assistants, clerical",92,"39.4","43-4121","2012","43-412","some.college..no.degree",22.54,"hs+"
"2439","Library technicians",42,"–","25-4031","2012","25-403","some.college..no.degree",6.8,"hs+"
"2440","Licensed practical and licensed vocational nurses",544.5,"43.8","29-2061","2012","29-206","some.college..no.degree",301.65,"hs+"
"2441","Loan interviewers and clerks",156,"39.9","43-4131","2012","43-413","some.college..no.degree",51.17,"hs+"
"2442","Logisticians",91,"46.1","13-1081","2012","13-108","some.college..no.degree",25.03,"hs+"
"2443","Machinists",397.5,"46.2","51-4041","2012","51-404","some.college..no.degree",109.71,"hs+"
"2444","Mail clerks and mail machine operators, except postal service",78,"50","43-9051","2012","43-905","some.college..no.degree",22.7,"hs+"
"2445","Maintenance and repair workers, general",452,"47.9","49-9071","2012","49-907","some.college..no.degree",125.66,"hs+"
"2446","Management analysts",792,"47.2","13-1111","2012","13-111","some.college..no.degree",98.21,"hs+"
"2447","Marine engineers and naval architects",9.5,"–","17-2121","2012","17-212","some.college..no.degree",0.93,"hs+"
"2448","Market research analysts and marketing specialists",230,"38.5","13-1161","2012","13-116","some.college..no.degree",24.38,"hs+"
"2449","Massage therapists",165,"41.8","31-9011","2012","31-901","some.college..no.degree",60.72,"hs+"
"2450","Materials engineers",43,"–","17-2131","2012","17-213","some.college..no.degree",4.56,"hs+"
"2451","Mechanical engineers",307.5,"42.4","17-2141","2012","17-214","some.college..no.degree",31.06,"hs+"
"2452","Medical records and health information technicians",89,"49.8","29-2071","2012","29-207","some.college..no.degree",31.6,"hs+"
"2453","Meeting, convention, and event planners",128.5,"37.6","13-1121","2012","13-112","some.college..no.degree",23.77,"hs+"
"2454","Meter readers, utilities",29,"–","43-5041","2012","43-504","some.college..no.degree",8.76,"hs+"
"2455","Morticians, undertakers, and funeral directors",38.5,"–","39-4031","2012","39-403","some.college..no.degree",9.36,"hs+"
"2456","Motion picture projectionists",3.5,"–","39-3021","2012","39-302","some.college..no.degree",1.28,"hs+"
"2457","Motor vehicle operators, all other",68.5,"59.3","53-3099","2012","53-309","some.college..no.degree",15.41,"hs+"
"2458","New accounts clerks",25.5,"–","43-4141","2012","43-414","some.college..no.degree",9.15,"hs+"
"2459","Nonfarm animal caretakers",177,"32.1","39-2021","2012","39-202","some.college..no.degree",48.14,"hs+"
"2460","Nurse anesthetists",25.5,"–","29-1151","2012","29-115","some.college..no.degree",1.25,"hs+"
"2461","Occupational therapists",115,"40.700000000000003","29-1122","2012","29-112","some.college..no.degree",1.61,"hs+"
"2462","Office clerks, general",1143.5,"42.7","43-9061","2012","43-906","some.college..no.degree",386.5,"hs+"
"2463","Office machine operators, except computer",43.5,"–","43-9071","2012","43-907","some.college..no.degree",12.35,"hs+"
"2464","Operations research analysts",129,"44.8","15-2031","2012","15-203","some.college..no.degree",21.41,"hs+"
"2465","Opticians, dispensing",50.5,"–","29-2081","2012","29-208","some.college..no.degree",18.43,"hs+"
"2466","Optometrists",37,"–","29-1041","2012","29-104","some.college..no.degree",0,"hs+"
"2467","Packaging and filling machine operators and tenders",282.5,"39.9","51-9111","2012","51-911","some.college..no.degree",42.09,"hs+"
"2468","Paralegals and legal assistants",411,"42","23-2011","2012","23-201","some.college..no.degree",99.05,"hs+"
"2469","Parking lot attendants",84.5,"28.3","53-6021","2012","53-602","some.college..no.degree",20.36,"hs+"
"2470","Paving, surfacing, and tamping equipment operators",22.5,"–","47-2071","2012","47-207","some.college..no.degree",1.3,"hs+"
"2471","Payroll and timekeeping clerks",155.5,"47.6","43-3051","2012","43-305","some.college..no.degree",57.54,"hs+"
"2472","Personal care aides",1156.5,"44.2","39-9021","2012","39-902","some.college..no.degree",311.1,"hs+"
"2473","Personal care and service workers, all other",100,"35.299999999999997","39-9099","2012","39-909","some.college..no.degree",29.4,"hs+"
"2474","Pest control workers",75,"42.9","37-2021","2012","37-202","some.college..no.degree",22.5,"hs+"
"2475","Pharmacists",281.5,"42.7","29-1051","2012","29-105","some.college..no.degree",3.94,"hs+"
"2476","Photographers",179,"40.1","27-4021","2012","27-402","some.college..no.degree",40.81,"hs+"
"2477","Photographic process workers and processing machine operators",49,"–","51-9151","2012","51-915","some.college..no.degree",13.33,"hs+"
"2478","Physical scientists, all other",156,"43.2","19-2099","2012","19-209","some.college..no.degree",0.78,"hs+"
"2479","Physician assistants",118.5,"39.200000000000003","29-1071","2012","29-107","some.college..no.degree",9.36,"hs+"
"2480","Plasterers and stucco masons",22.5,"–","47-2161","2012","47-216","some.college..no.degree",2.77,"hs+"
"2481","Podiatrists",10.5,"–","29-1081","2012","29-108","some.college..no.degree",0,"hs+"
"2482","Postal service clerks",124,"52.1","43-5051","2012","43-505","some.college..no.degree",45.14,"hs+"
"2483","Prepress technicians and workers",31,"–","51-5111","2012","51-511","some.college..no.degree",8.31,"hs+"
"2484","Pressers, textile, garment, and related materials",54.5,"45.7","51-6021","2012","51-602","some.college..no.degree",5.72,"hs+"
"2485","Private detectives and investigators",94.5,"43.5","33-9021","2012","33-902","some.college..no.degree",20.98,"hs+"
"2486","Procurement clerks",27,"–","43-3061","2012","43-306","some.college..no.degree",8.61,"hs+"
"2487","Production, planning, and expediting clerks",277,"46.1","43-5061","2012","43-506","some.college..no.degree",79.22,"hs+"
"2488","Proofreaders and copy markers",8.5,"–","43-9081","2012","43-908","some.college..no.degree",1.51,"hs+"
"2489","Public relations specialists",152,"37.4","27-3031","2012","27-303","some.college..no.degree",14.44,"hs+"
"2490","Rail-track laying and maintenance equipment operators",11.5,"–","47-4061","2012","47-406","some.college..no.degree",3.05,"hs+"
"2491","Railroad conductors and yardmasters",51,"39","53-4031","2012","53-403","some.college..no.degree",19.18,"hs+"
"2492","Receptionists and information clerks",1281.5,"37.6","43-4171","2012","43-417","some.college..no.degree",436.99,"hs+"
"2493","Refuse and recyclable material collectors",107,"41.1","53-7081","2012","53-708","some.college..no.degree",17.98,"hs+"
"2494","Registered nurses",2883.5,"44.2","29-1141","2012","29-114","some.college..no.degree",155.71,"hs+"
"2495","Religious workers, all other",71.5,"47.1","21-2099","2012","21-209","some.college..no.degree",12.8,"hs+"
"2496","Reservation and transportation ticket agents and travel clerks",118,"44.2","43-4181","2012","43-418","some.college..no.degree",39.88,"hs+"
"2497","Residential advisors",49,"–","39-9041","2012","39-904","some.college..no.degree",15.93,"hs+"
"2498","Retail salespersons",3285.5,"34.700000000000003","41-2031","2012","41-203","some.college..no.degree",946.22,"hs+"
"2499","Roofers",199.5,"37.299999999999997","47-2181","2012","47-218","some.college..no.degree",21.95,"hs+"
"2500","Sales engineers",31.5,"–","41-9031","2012","41-903","some.college..no.degree",4.09,"hs+"
"2501","Sales representatives, services, all other",444.5,"42.1","41-3099","2012","41-309","some.college..no.degree",115.13,"hs+"
"2502","Sawing machine setters, operators, and tenders, wood",31.5,"–","51-7041","2012","51-704","some.college..no.degree",4.03,"hs+"
"2503","Securities, commodities, and financial services sales agents",279,"41.7","41-3031","2012","41-303","some.college..no.degree",45.2,"hs+"
"2504","Sewing machine operators",162,"48","51-6031","2012","51-603","some.college..no.degree",17.17,"hs+"
"2505","Sheet metal workers",118,"43.2","47-2211","2012","47-221","some.college..no.degree",32.45,"hs+"
"2506","Shipping, receiving, and traffic clerks",545,"41.1","43-5071","2012","43-507","some.college..no.degree",142.79,"hs+"
"2507","Stationary engineers and boiler operators",106,"48.6","51-8021","2012","51-802","some.college..no.degree",32.54,"hs+"
"2508","Statistical assistants",28,"–","43-9111","2012","43-911","some.college..no.degree",8.34,"hs+"
"2509","Stock clerks and order fillers",1480.5,"35.200000000000003","43-5081","2012","43-508","some.college..no.degree",371.61,"hs+"
"2510","Structural iron and steel workers",57,"–","47-2221","2012","47-222","some.college..no.degree",13.85,"hs+"
"2511","Structural metal fabricators and fitters",24,"–","51-2041","2012","51-204","some.college..no.degree",5.69,"hs+"
"2512","Surveying and mapping technicians",65.5,"44.7","17-3031","2012","17-303","some.college..no.degree",24.82,"hs+"
"2513","Switchboard operators, including answering service",33.5,"–","43-2011","2012","43-201","some.college..no.degree",11.86,"hs+"
"2514","Tax examiners and collectors, and revenue agents",71,"45.6","13-2081","2012","13-208","some.college..no.degree",18.53,"hs+"
"2515","Taxi drivers and chauffeurs",337,"49.2","53-3041","2012","53-304","some.college..no.degree",80.88,"hs+"
"2516","Teacher assistants",908,"44.8","25-9041","2012","25-904","some.college..no.degree",263.32,"hs+"
"2517","Telemarketers",95,"31.3","41-9041","2012","41-904","some.college..no.degree",31.35,"hs+"
"2518","Telephone operators",35.5,"–","43-2021","2012","43-202","some.college..no.degree",13.13,"hs+"
"2519","Tellers",374.5,"30.9","43-3071","2012","43-307","some.college..no.degree",124.33,"hs+"
"2520","Tool and die makers",54.5,"51.1","51-4111","2012","51-411","some.college..no.degree",18.75,"hs+"
"2521","Training and development specialists",122.5,"42.5","13-1151","2012","13-115","some.college..no.degree",29.03,"hs+"
"2522","Transportation attendants, except flight attendants",37.5,"–","53-6061","2012","53-606","some.college..no.degree",9.94,"hs+"
"2523","Transportation inspectors",40.5,"–","53-6051","2012","53-605","some.college..no.degree",13.65,"hs+"
"2524","Travel agents",75,"53.2","41-3041","2012","41-304","some.college..no.degree",23.32,"hs+"
"2525","Urban and regional planners",24,"–","19-3051","2012","19-305","some.college..no.degree",1.03,"hs+"
"2526","Ushers, lobby attendants, and ticket takers",41,"–","39-3031","2012","39-303","some.college..no.degree",9.59,"hs+"
"2527","Veterinarians",86,"46.8","29-1131","2012","29-113","some.college..no.degree",0,"hs+"
"2528","Waiters and waitresses",2124,"26.2","35-3031","2012","35-303","some.college..no.degree",605.34,"hs+"
"2529","Water and wastewater treatment plant and system operators",70,"49.8","51-8031","2012","51-803","some.college..no.degree",24.15,"hs+"
"2530","Weighers, measurers, checkers, and samplers, recordkeeping",79,"46.5","43-5111","2012","43-511","some.college..no.degree",20.22,"hs+"
"2531","Accountants and auditors",1728,"44","13-2011","2014","13-201","some.college..no.degree",139.97,"hs+"
"2532","Actors",46,"–","27-2011","2014","27-201","some.college..no.degree",8.51,"hs+"
"2533","Actuaries",24.5,"–","15-2011","2014","15-201","some.college..no.degree",0.29,"hs+"
"2534","Adhesive bonding machine operators and tenders",8.5,"–","51-9191","2014","51-919","some.college..no.degree",1.85,"hs+"
"2535","Advertising sales agents",213.5,"39.4","41-3011","2014","41-301","some.college..no.degree",45.26,"hs+"
"2536","Aerospace engineers",142.5,"46.9","17-2011","2014","17-201","some.college..no.degree",9.55,"hs+"
"2537","Agents and business managers of artists, performers, and athletes",49,"39.799999999999997","13-1011","2014","13-101","some.college..no.degree",9.8,"hs+"
"2538","Agricultural and food science technicians",32,"–","19-4011","2014","19-401","some.college..no.degree",9.79,"hs+"
"2539","Agricultural inspectors",17.5,"–","45-2011","2014","45-201","some.college..no.degree",4.17,"hs+"
"2540","Aircraft mechanics and service technicians",133.5,"45.4","49-3011","2014","49-301","some.college..no.degree",52.47,"hs+"
"2541","Aircraft structure, surfaces, rigging, and systems assemblers",14.5,"–","51-2011","2014","51-201","some.college..no.degree",4.05,"hs+"
"2542","Ambulance drivers and attendants, except emergency medical technicians",19,"–","53-3011","2014","53-301","some.college..no.degree",6.8,"hs+"
"2543","Animal control workers",7,"–","33-9011","2014","33-901","some.college..no.degree",2.79,"hs+"
"2544","Animal trainers",47.5,"–","39-2011","2014","39-201","some.college..no.degree",12.68,"hs+"
"2545","Appraisers and assessors of real estate",85.5,"49.8","13-2021","2014","13-202","some.college..no.degree",21.89,"hs+"
"2546","Atmospheric and space scientists",9.5,"–","19-2021","2014","19-202","some.college..no.degree",0.62,"hs+"
"2547","Audiologists",18,"–","29-1181","2014","29-118","some.college..no.degree",0.41,"hs+"
"2548","Automotive and watercraft service attendants",98,"30.4","53-6031","2014","53-603","some.college..no.degree",23.23,"hs+"
"2549","Automotive body and related repairers",143.5,"41.7","49-3021","2014","49-302","some.college..no.degree",25.97,"hs+"
"2550","Avionics technicians",6.5,"–","49-2091","2014","49-209","some.college..no.degree",2.18,"hs+"
"2551","Bakers",227.5,"37.4","51-3011","2014","51-301","some.college..no.degree",47.55,"hs+"
"2552","Barbers",113,"42.3","39-5011","2014","39-501","some.college..no.degree",32.32,"hs+"
"2553","Bartenders",433.5,"32.299999999999997","35-3011","2014","35-301","some.college..no.degree",148.26,"hs+"
"2554","Bill and account collectors",166.5,"40.1","43-3011","2014","43-301","some.college..no.degree",59.94,"hs+"
"2555","Billing and posting clerks",490,"44.9","43-3021","2014","43-302","some.college..no.degree",162.19,"hs+"
"2556","Biological technicians",21.5,"–","19-4021","2014","19-402","some.college..no.degree",5.07,"hs+"
"2557","Boilermakers",18.5,"–","47-2011","2014","47-201","some.college..no.degree",4.85,"hs+"
"2558","Bookkeeping, accounting, and auditing clerks",1206.5,"49.6","43-3031","2014","43-303","some.college..no.degree",453.64,"hs+"
"2559","Brokerage clerks",4,"–","43-4011","2014","43-401","some.college..no.degree",0.96,"hs+"
"2560","Budget analysts",46,"–","13-2031","2014","13-203","some.college..no.degree",6.03,"hs+"
"2561","Bus and truck mechanics and diesel engine specialists",334,"42","49-3031","2014","49-303","some.college..no.degree",84.17,"hs+"
"2562","Business operations specialists, all other",203.5,"43","13-1199","2014","13-119","some.college..no.degree",34.19,"hs+"
"2563","Buyers and purchasing agents, farm products",12.5,"–","13-1021","2014","13-102","some.college..no.degree",2.27,"hs+"
"2564","Cabinetmakers and bench carpenters",55.5,"44.7","51-7011","2014","51-701","some.college..no.degree",10.77,"hs+"
"2565","Cargo and freight agents",22,"–","43-5011","2014","43-501","some.college..no.degree",7.63,"hs+"
"2566","Carpenters",1281.5,"41.4","47-2031","2014","47-203","some.college..no.degree",248.61,"hs+"
"2567","Chefs and head cooks",422.5,"38.299999999999997","35-1011","2014","35-101","some.college..no.degree",91.26,"hs+"
"2568","Chemical engineers",81.5,"40.200000000000003","17-2041","2014","17-204","some.college..no.degree",3.02,"hs+"
"2569","Chemical technicians",76.5,"39.299999999999997","19-4031","2014","19-403","some.college..no.degree",20.43,"hs+"
"2570","Childcare workers",1212,"37.4","39-9011","2014","39-901","some.college..no.degree",326.03,"hs+"
"2571","Chiropractors",70.5,"45.7","29-1011","2014","29-101","some.college..no.degree",0.56,"hs+"
"2572","Civil engineers",354.5,"43.8","17-2051","2014","17-205","some.college..no.degree",20.92,"hs+"
"2573","Cleaners of vehicles and equipment",356.5,"30.7","53-7061","2014","53-706","some.college..no.degree",60.96,"hs+"
"2574","Clergy",451,"50.5","21-2011","2014","21-201","some.college..no.degree",51.87,"hs+"
"2575","Coin, vending, and amusement machine servicers and repairers",45.5,"–","49-9091","2014","49-909","some.college..no.degree",13.06,"hs+"
"2576","Combined food preparation and serving workers, including fast food",424,"26.4","35-3021","2014","35-302","some.college..no.degree",99.22,"hs+"
"2577","Communications equipment operators, all other",7,"–","43-2099","2014","43-209","some.college..no.degree",1.96,"hs+"
"2578","Compensation, benefits, and job analysis specialists",69.5,"42.6","13-1141","2014","13-114","some.college..no.degree",15.08,"hs+"
"2579","Compliance officers",242.5,"45.4","13-1041","2014","13-104","some.college..no.degree",46.32,"hs+"
"2580","Computer and information research scientists",26.5,"–","15-1111","2014","15-111","some.college..no.degree",0.56,"hs+"
"2581","Computer hardware engineers",78,"44.5","17-2061","2014","17-206","some.college..no.degree",8.19,"hs+"
